Questions,Answers,extended_answer
"Which composer was born later, Gaetano Donizetti or William Walton?",William Turner Walton,William Turner Walton was born later than Gaetano Donizetti.
What wrestling team is Mathew Thomas Rehwoldt a part of?,The Vaudevillains,Mathew Thomas Rehwoldt is a part of The Vaudevillains wrestling team.
"Which of these is a genus of flowering plants, Anemopaegma or Semele?",Anemopaegma,Anemopaegma is the genus of flowering plants.
"Which is located in Cornwall, Southwell Minster or Truro Cathedral?","The Cathedral of the Blessed Virgin Mary, Truro","The Cathedral of the Blessed Virgin Mary, Truro, is located in Cornwall."
"Which director was from a country closer to Canada, J. Searle Dawley or Lionel Ngakane?",James Searle Dawley,"James Searle Dawley, the director, was from a country closer to Canada."
Who was born first Iain Pears or Richard Llewellyn ?,Richard Dafydd Vivian Llewellyn,Richard Dafydd Vivian Llewellyn was born first.
"What time did the show, in which Gordon Burns was the host, usually air on Monday?",7pm,"The show, in which Gordon Burns was the host, usually aired on Monday at 7pm."
What is the name the Columbian film loosely based on a story about a dying child's dreams and hope first published in 1845 by Hans Christian Andersen?,The Little Match Girl,"The name of the Columbian film loosely based on a story about a dying child's dreams and hope first published in 1845 by Hans Christian Andersen is ""The Little Match Girl."""
What kind of film was the film who featured Auli'i Cravalho?,3D computer-animated musical fantasy-adventure film,The film that featured Auli'i Cravalho was a 3D computer-animated musical fantasy-adventure film.
Who starred in Smurfs: The Lost Village and was also in The Office?,Ellie Kemper,"Ellie Kemper, who starred in Smurfs: The Lost Village, was also in The Office."
Daburiyya is 8km east of a city where where percentage of its citizens are Christian?,30.90%,Daburiyya is 8km east of a city where 30.90% of its citizens are Christian.
"Who lived longer, Tony Richardson or Giorgio Ferroni?",Giorgio Ferroni,Giorgio Ferroni lived longer than Tony Richardson.
The uncle of Paul Capellani died at a military operation during a battle was fought between who?,the Allies and Nazi Germany,The uncle of Paul Capellani died at a military operation during a battle that was fought between the Allies and Nazi Germany.
Armand Castelmary played Horatio in the 1868 version of the opera set to a play by whom?,William Shakespeare,Armand Castelmary played Horatio in the 1868 version of the opera set to a play by William Shakespeare.
The first person to reach both poles named a glacier after which person? ,the daughter of Fridtjof Nansen.,The first person to reach both poles named a glacier after the daughter of Fridtjof Nansen.
Have Jelena Janković and Marat Safin both played tennis professionally?,yes,"Yes, both Jelena Janković and Marat Safin have played tennis professionally."
What is the birth name of Nadeem Siddique's favorite boxer?,Walker Smith Jr.,The birth name of Nadeem Siddique's favorite boxer is Walker Smith Jr.
What movie genre did Emmanuelle Vaugier play a supporting role in?,satirical erotic romantic comedy,Emmanuelle Vaugier played a supporting role in a satirical erotic romantic comedy movie genre.
In which war was the Meuse-Argonne Offensive executed?,World War I.,The Meuse-Argonne Offensive was executed during World War I.
"Which of Aaron Goodwin client was born in May 31, 1984?",Nate Robinson,"Nate Robinson, Aaron Goodwin's client, was born on May 31, 1984."
In which part of New York was the singer who released the song No Problem raised ?,Harlem,"The singer who released the song No Problem was raised in Harlem, New York."
"Which TV series directed and written by the same person as ""Buffy the Vampire Slayer"" starred Tahmoh Penikett?",Dollhouse,"The TV series ""Dollhouse,"" which starred Tahmoh Penikett, was directed and written by the same person as ""Buffy the Vampire Slayer."""
"What was the significance of the lions, about whom a fictionalized account provided the basis of the film, The Ghost and the Darkness?",their unusual behavior,"The significance of the lions, about whom a fictionalized account provided the basis of the film, The Ghost and the Darkness, lies in their unusual behavior."
What exit of Garden State Parkway should you take in order to get to the Seacourt Pavilion?,Exit 82,"To get to the Seacourt Pavilion, you should take Exit 82 of the Garden State Parkway."
Are both Jack and Coke and Clover Club Cocktail cocktails?,yes,"Yes, both Jack and Coke and Clover Club Cocktail are cocktails."
Are either Edward H. Griffith or Edward Burns from Germany?,no,Neither Edward H. Griffith nor Edward Burns are from Germany.
What is Peter Daou's website's slogan?,"""media for the 65.8 million,""","Peter Daou's website's slogan is ""media for the 65.8 million,"" which means that the website aims to provide media content that represents and serves the interests of the 65.8 million people it represents."
The 43d Air Mobility Operations Group is stationed at which largest military installation?,Fort Bragg,"The 43d Air Mobility Operations Group is stationed at Fort Bragg, which is the largest military installation."
" During what years did the railroad that had a station stop in Ringling, Montana operate?",from 1847 until 1980,"The railroad that had a station stop in Ringling, Montana operated from 1847 until 1980."
"William Sidney Sid Hatfield was the Police Chief of Matewan, West Virginia during a shootout between local coal miners and the Baldwin-Felts Detective Agency that is referred to as what?",Battle of Matewan,"The shootout between local coal miners and the Baldwin-Felts Detective Agency in Matewan, West Virginia, which is referred to as the Battle of Matewan, was overseen by William Sidney Sid Hatfield, who served as the Police Chief at the time."
"Which American musician, principally known for his work as guitarist, vocalist and songwriter released the Voice Of Reason album?",Robert Arthur Mould,"Robert Arthur Mould, an American musician principally known for his work as a guitarist, vocalist, and songwriter, released the Voice Of Reason album."
"What is the nationality of this actor, film producer and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie and Tony Lee?",New Zealand citizen,"The actor, film producer, and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie, and Tony Lee is a New Zealand citizen."
which persons private jet called Trump Force One which is built by Boeing Commercial Airplanes and is the manufacturer's largest single aisle passenger aircraft that is produced from 1981 to 2004?,Donald J. Trump's private jet,"Donald J. Trump's private jet, which is called Trump Force One, is built by Boeing Commercial Airplanes and is the manufacturer's largest single aisle passenger aircraft that was produced from 1981 to 2004."
What group did the 253 West 125th Street-contest winner Spyder Turner sing back up for?,The Stereophonics and The Fabulous Counts,"The 253 West 125th Street-contest winner, Spyder Turner, had the opportunity to sing back up for two groups, namely The Stereophonics and The Fabulous Counts."
"What is the character's name for which Anna Leonidovna Kovalchuk won a prize in the legal festival ""Law and Society""?",Chief Detective Maria Shvetsova,"The character's name for which Anna Leonidovna Kovalchuk won a prize in the legal festival ""Law and Society"" is Chief Detective Maria Shvetsova."
What is the estimated population of the city in which the suburb of Beaumont is located ?,"44,300","The estimated population of the city in which the suburb of Beaumont is located is 44,300."
The 2003 South Australian National Football League Grand Final saw the Central District Bulldogs defeat a football club whose home base is currently known as what?,City Mazda Stadium,The 2003 South Australian National Football League Grand Final saw the Central District Bulldogs defeat a football club whose home base is currently known as City Mazda Stadium.
What was the nationality of the composer of Chaconne in F minor?,German,The composer of Chaconne in F minor was German.
In what year was the college that Cal Hovde served as dean for founded?,1754,The college that Cal Hovde served as dean for was founded in 1754.
Which constituent college of the University of Oxford in England was Francis Leighton warden of?,"All Souls College, Oxford","Francis Leighton was the warden of All Souls College, Oxford, which is a constituent college of the University of Oxford in England."
What is  Cyaxares relationship to the man that governed for 53 years?,r grandfather <a hr,Cyaxares is the grandfather of the man who governed for 53 years.
 Are Finding Kraftland and Shikashika both frozen drinks?,Shikashika is a shaved ice drink,"No, Shikashika is not a frozen drink. It is a shaved ice drink."
Are Toshi and Warrel Dane both in the band Sanctuary?,no,"No, Toshi and Warrel Dane are not both in the band Sanctuary."
Which of the cities of Dujiangyan City and Ezhou has the larger population according to their latest census ?,Ezhou,Ezhou has the larger population according to their latest census.
"Who was the  ""King of Denmark, the Vends and the Goths, elected King of Norway's"" brother?",king John of Denmark,"King John of Denmark was the brother of the ""King of Denmark, the Vends and the Goths, elected King of Norway."""
What contest did Drew Barry's younger brother win in 1996?,the 1996 NBA Slam Dunk Contest,"Drew Barry's younger brother won the 1996 NBA Slam Dunk Contest, showcasing his incredible athleticism and dunking skills."
where is a  football club which Aly Mohamed play for from ,United Arab Emirates,Aly Mohamed plays for a football club from the United Arab Emirates.
Raiffeisen Zentralbank is the central institution of one a group of co-operative banks in Austria. What is the name of the other group?,Austrian Volksbanks,"The other group of co-operative banks in Austria, alongside Raiffeisen Zentralbank, is known as the Austrian Volksbanks."
"In which year did this Russian actress  who produced and performed in the 1922 American silent drama film ""A Doll's House"" immigrate to the United States?",1905,"The Russian actress who produced and performed in the 1922 American silent drama film ""A Doll's House"" immigrated to the United States in 1905."
" the movie ""A Cure for Wellness"" was a science fiction?",is a 2016 science fiction psychological horror,"The movie ""A Cure for Wellness"" is a 2016 science fiction psychological horror."
What position did the 2004 World Series of Poker gold bracelet holder have in the 2011 Epic Poker League?,Commissioner,The 2004 World Series of Poker gold bracelet holder served as the commissioner in the 2011 Epic Poker League.
"Which band has more members, Chvrches or Goodbye Mr. Mackenzie?",Goodbye Mr Mackenzie,Goodbye Mr. Mackenzie has more members than Chvrches.
"What major landform lended its name to both the Blue Ridge Music Center, and American's longest linear park?",469 mi,The major landform that lended its name to both the Blue Ridge Music Center and America's longest linear park is 469 miles.
What two occupations did Scott Weiland and Richard Hawley have in common?,singer and songwriter,"Scott Weiland and Richard Hawley had two occupations in common, they were both singers and songwriters."
Who is older Charles R. Black Jr. or Paul Manafort?,Charles R. Black Jr.,Charles R. Black Jr. is older than Paul Manafort.
What university did the winner of the 2014 CFL's Most Outstanding Defensive Player Award attend?,University of Hawaii at Manoa,The winner of the 2014 CFL's Most Outstanding Defensive Player Award attended the University of Hawaii at Manoa.
Sony/Philips Digital Interface Format can transmit over what Toshiba optical fiber connector system?,"TOSLINK (from ""Toshiba Link"") is a standardized optical fiber connector system.","TOSLINK, which stands for ""Toshiba Link,"" is a standardized optical fiber connector system that Sony/Philips Digital Interface Format can transmit over."
Sadok Sassi played for a national team that made its first World Cup in what year?,1978,Sadok Sassi played for a national team that made its first World Cup in 1978.
Who was born first Garo Yepremian or Michael Casey ?,"""Garo"" Yepremian",Garo Yepremian was born first.
Grigori 3's music is commonly compared to an American rock band founded in what year?,1995,Grigori 3's music is commonly compared to an American rock band founded in 1995.
"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""? ",Naruto Uzumaki,"The English voice cast star in Kung Fu Magoo is best known for her role as Naruto Uzumaki in ""Naruto""."
Nikhil Nanda is the son of the insurance advisor in what business?,life insurance,Nikhil Nanda is the son of the insurance advisor in the life insurance business.
What year did a Russian soprano opera singer born in October 1926 leave Russia with her cellist husband and daughter?,1974,"In 1974, the Russian soprano opera singer, who was born in October 1926, left Russia with her cellist husband and daughter."
"A play that was first performed on February 16th, 1728, at the Theatre Royal, was written by an English novelist who was also the author of what novel?",Tom Jones,"The play that was first performed on February 16th, 1728, at the Theatre Royal was written by an English novelist who was also the author of the novel Tom Jones."
Alhambra and Tsuro are both examples of what type of game?,tile-based board game,Alhambra and Tsuro are both examples of tile-based board games.
"What NFL Team, undefeated in 1972, had on their staff the coach of the 2004 Florida Atlantic Owls football team?",Miami Dolphins,"The Miami Dolphins, who were undefeated in 1972, had on their staff the coach of the 2004 Florida Atlantic Owls football team."
What year did Fifty Shades of Grey release?,2011,"Fifty Shades of Grey released in 2011, becoming a cultural phenomenon and sparking widespread discussions about its explicit content and portrayal of relationships."
"Which band had more members, Semisonic or Cake?",Cake,Cake had more members.
Who is writing a book about the Koch family who control the second-largest privately owned company in the United States?,Jane Mayer,Jane Mayer is writing a book about the Koch family who control the second-largest privately owned company in the United States.
"The debut album came out in 1988 but what year did the song ""She's My Baby"" come out in?",1990,"The song ""She's My Baby"" came out in 1990, two years after the debut album was released in 1988."
"El Chavo is a video game published by Slang Publishing, that was based on what Mexican animated series that was based on another TV series created by Roberto Gomez Bolanos?",El Chavo Animado,"El Chavo Animado is a video game published by Slang Publishing that was based on the Mexican animated series of the same name, which in turn was based on another TV series created by Roberto Gomez Bolanos."
Who was soldier Archie A. Peck's commanding officer during the Meuse-Argonne Offensive?,Major Charles White Whittlesey,Major Charles White Whittlesey was soldier Archie A. Peck's commanding officer during the Meuse-Argonne Offensive.
"Who has won more literary awards, Annie Dillard or Gabriel García Márquez?",Gabriel José de la Concordia García Márquez,Gabriel José de la Concordia García Márquez has won more literary awards than Annie Dillard.
Were The Living Desert and What Would Jesus Buy? directed by the same person?,no,"No, The Living Desert and What Would Jesus Buy? were not directed by the same person."
"Does Jimmy Barnes have more hits, both solo and in a group, than Yang Seung-ho has with his group?",yes,"Yes, Jimmy Barnes has more hits, both solo and in a group, than Yang Seung-ho has with his group."
Which publisher produced the comic books featuring both Spider-Man and the Daredevils?,Marvel,Marvel is the publisher that produced the comic books featuring both Spider-Man and the Daredevils.
What university did Bill Daly graduate that Gary Bettman also graduated from?,New York University School of Law,"Bill Daly graduated from New York University School of Law, the same university that Gary Bettman also graduated from."
Ellesmere Port Town Football Club are currently members of what English football league whose current principal sponsor is Carlsberg?,West Cheshire Association Football League,"Ellesmere Port Town Football Club are currently members of the West Cheshire Association Football League, whose current principal sponsor is Carlsberg."
What is the middle name of the former Stanford Cardinals player who caught 57 passes for 1010 yards and 14 TDs?,David,The middle name of the former Stanford Cardinals player who caught 57 passes for 1010 yards and 14 TDs is David.
Who was the secretary to the Winter Queen?,Sir Francis Nethersole,Sir Francis Nethersole was the secretary to the Winter Queen.
Triangle Brewing Company was started by a founder who had experience as what non-commercial alcohol producer?,homebrewer,"Triangle Brewing Company was started by a founder who had experience as a homebrewer, honing their skills and passion for crafting unique and flavorful beers."
What is the legal name of Johnny Campbell's hometown?,Londonderry,The legal name of Johnny Campbell's hometown is Londonderry.
Tom Thumb Food & Pharmacy is part of the southern division of a grocery company based in what city?,Boise,Tom Thumb Food & Pharmacy is part of the southern division of a grocery company based in Boise.
Where is stadium that was named after Rodney Cline Carew?,Panama City,The stadium that was named after Rodney Cline Carew is located in Panama City.
Why is Bangor Daily News talkin about Sawin Millett?,Commissioner by the Maine Senate,Sawin Millett is being talked about by the Bangor Daily News because he has been appointed as a commissioner by the Maine Senate.
"In what movie did a Kenyan-Mexican actress, who graduated from Hampshire College, star in in 2015?",Star Wars: The Force Awakens,"A Kenyan-Mexican actress, who graduated from Hampshire College, starred in the movie Star Wars: The Force Awakens in 2015."
"What actor, who passed away in 1942 was also the producer of the stage version of the 1940 spy film which stars Boris Karloff and Margaret Lindsay?",George M. Cohan,"George M. Cohan, who passed away in 1942, was not only an actor but also the producer of the stage version of the 1940 spy film which stars Boris Karloff and Margaret Lindsay."
"Are both, Boise State University and Syracuse University, public colleges?",no,"No, neither Boise State University nor Syracuse University are public colleges."
Which actress played a character that dated Mark Brendanawicz?,Rashida Jones,Rashida Jones is the actress who played a character that dated Mark Brendanawicz.
What was the specialization of an American naval officer who led the aircraft of the United States Antarctic Service to photograph Cox Point?,feats of exploration,The specialization of an American naval officer who led the aircraft of the United States Antarctic Service to photograph Cox Point was feats of exploration.
In what language was the 2007 Indian romantic drama staring Kareena Kapoor and Shahid Kapoor produced in? ,Partly Punjabi,The 2007 Indian romantic drama starring Kareena Kapoor and Shahid Kapoor was partly produced in Punjabi.
"The Mutlu Onaral album ""Livin' It"" was produced by the bassist for what duo?",Hall & Oates,"The Mutlu Onaral album ""Livin' It"" was produced by the bassist for Hall & Oates."
Tommy Swerdlow co-wrote the screenplay of what film directed by Jon Turteltaub?,Cool Runnings,"Tommy Swerdlow co-wrote the screenplay of Cool Runnings, a film directed by Jon Turteltaub."
"Who would you be more worried about playing a chess game against, Marcel Duchamp or Jiang Wen",Duchamp,"I would be more worried about playing a chess game against Marcel Duchamp because he was a renowned chess player and artist, known for his strategic thinking and creativity on the chessboard."
"Which state was the The Laboratory's 60,000 square-foot, shore-based campus located?","Maine, United States","The Laboratory's 60,000 square-foot, shore-based campus was located in Maine, United States."
What is the name the French give to the war during which the Prussians occupied the Pavillon du Butard?,War of 1870,The name the French give to the war during which the Prussians occupied the Pavillon du Butard is the War of 1870.
What year was the voice actress of an animated television series premiered on Cartoon Network born?,1967,The voice actress of the animated television series premiered on Cartoon Network was born in 1967.
In what year was the 1965 World Series MVP elected to the Baseball Hall of Fame?,1972,The 1965 World Series MVP was elected to the Baseball Hall of Fame in 1972.
How many times has the driver who placed third in the 2003 Italian Grand Prix won at the Grand Prix?,11,The driver who placed third in the 2003 Italian Grand Prix has won at the Grand Prix 11 times.
Who directed the 2007 film which  Sasson Gabai won an Ophir Award for?,Eran Kolirin,Eran Kolirin directed the 2007 film for which Sasson Gabai won an Ophir Award.
The Florida Atlantic Owls team represents a school classified by the Carnegie Foundation as what?,a research university,"The Florida Atlantic Owls team represents a school classified by the Carnegie Foundation as a research university, which means it is recognized for its commitment to conducting significant research in various fields."
Who starred as a divorced mother in an American sitcom produced by Danny Bonaduce's father?,Bonnie Franklin,Bonnie Franklin starred as a divorced mother in an American sitcom produced by Danny Bonaduce's father.
Alex Yemenidjian is the CEO of the company that owns what Las Vegas Strip hotel?,Tropicana Las Vegas,"Alex Yemenidjian is the CEO of the company that owns the Tropicana Las Vegas, a prominent hotel located on the Las Vegas Strip."
"How long did The Shire of Flinders, which encompassed the extremity of the Mornington Peninsula located south-east of Melbourne, Australia, exist?",1874 until 1994,"The Shire of Flinders, which encompassed the extremity of the Mornington Peninsula located south-east of Melbourne, Australia, existed from 1874 until 1994."
How old was Virginia Bruce when she starred in Let Freedom Ring?,29,Virginia Bruce was 29 years old when she starred in Let Freedom Ring.
"Who was Germany's large-scale, low strength fortification unit, disbanded in 1919, named after? ",Menges,"Germany's large-scale, low strength fortification unit, disbanded in 1919, was named after Menges."
When was Leeds no longer called Elmet?,early 7th century,Leeds was no longer called Elmet in the early 7th century.
Ip Man 3 is the second sequal to the biographical martial arts films first released in what year?,2008,Ip Man 3 is the second sequel to the biographical martial arts films first released in 2008.
The winning jockey of the 1997 Cheltenham Gold Cup held a record for winner of what award 20 consecutive times?,Champion Jockey,"The winning jockey of the 1997 Cheltenham Gold Cup, who held a record for being the champion jockey, won the award an impressive 20 consecutive times."
Are Dorothy Parker and Maxine Kumin the same nationality?,yes,"Yes, Dorothy Parker and Maxine Kumin are the same nationality."
Oxley Highway ends at a coastal town that had how many inhabitants in June 2016 ?,"45,698","The coastal town where Oxley Highway ends had a population of 45,698 inhabitants in June 2016."
What horror movie set in 1972 Vietnam was filmed in part in Bokor Hill Station?,R-Point,The horror movie set in 1972 Vietnam that was filmed in part in Bokor Hill Station is called R-Point.
"What character did Selina Giles play in the 2005 dystopian political thriller named ""V for Vendetta""?",Evey's mother,"Selina Giles played Evey's mother in the 2005 dystopian political thriller named ""V for Vendetta""."
What is the electric racing series British race car driver Alex Lynn drives for and is owned by Virgin Group?,DS Virgin Racing Formula E Team,"British race car driver Alex Lynn drives for the DS Virgin Racing Formula E Team, which is owned by Virgin Group."
How many rooms are in the hotel that is home to the Cirque du Soleil show Mystere?,"2,664","The hotel that is home to the Cirque du Soleil show Mystere has a total of 2,664 rooms."
"Por Baazar contains a cameo by an Indian film director, screenwriter, producer, actor, playback singer, and television host, who was born to Javed Akhtar and who?",Honey Irani,"Por Baazar contains a cameo by Honey Irani, an Indian film director, screenwriter, producer, actor, playback singer, and television host, who was born to Javed Akhtar and ____________."
"""It Girl"" is musically classified in the middle of what terminology describing the speed or pace of a given piece?",tempo,"""It Girl"" is musically classified in the middle of what terminology describing the speed or pace of a given piece, which is tempo."
"Before the 2004-2005 Minnesota Timberwovles season, what had Sam Cassell had been honored with what titles?",All-NBA Team,"Before the 2004-2005 Minnesota Timberwolves season, Sam Cassell had been honored with the title of being selected for the All-NBA Team."
What university employed the psychologist that inspired David McClelland's thinking on power??,Harvard University,Harvard University employed the psychologist that inspired David McClelland's thinking on power.
Which U.S. State contains tropical wetlands and Diamondback Airboats?,Florida,Florida is the U.S. State that contains tropical wetlands and Diamondback Airboats.
What group of people are described as semi-nomadic and speak the Semitic language ? ,Semitic people,The group of people who are described as semi-nomadic and speak the Semitic language are the Semitic people.
What muffler repair shop owner inspired Andrey Zvyagintsev's film Leviathan?,Marvin John Heemeyer,"Marvin John Heemeyer, the muffler repair shop owner, inspired Andrey Zvyagintsev's film Leviathan."
 What annual event occurs on a property co-founded by an American who was the best-selling recording artist of the 20th century?,San Diego County Fair,"The San Diego County Fair, an annual event, occurs on a property co-founded by an American who was the best-selling recording artist of the 20th century."
What is the name of the Minahasa journalist and novelist who was active in the colonies incorporated into the Dutch government in 1800?,Frederick D. J. Pangemanann,The name of the Minahasa journalist and novelist who was active in the colonies incorporated into the Dutch government in 1800 is Frederick D. J. Pangemanann.
"Which city has a higher population, Shanghai or Hengyang?",Shanghai,Shanghai has a higher population than Hengyang.
"Rosi Golan's songs were featured in commercials for a brand of Artsana, that's been working for over 50 years, and is present in how many countries?",more than 120 countries,"Rosi Golan's songs were featured in commercials for a brand of Artsana, that's been working for over 50 years, and is present in more than 120 countries."
"What American actress starred in the 1996 television film ""Bastard Out of Carolina"" directed by Anjelica Huston?",Jena Malone,"Jena Malone, an American actress, starred in the 1996 television film ""Bastard Out of Carolina"" directed by Anjelica Huston."
"Who is older, Lucy Gichuhi or Bob Day?",Bob Day,Bob Day is older than Lucy Gichuhi.
"Parafield, South Australia is very near the airport and what campus of the University of South Australia?",Mawson Lakes,"Parafield, South Australia is very near the airport and the Mawson Lakes campus of the University of South Australia."
"Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from which opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet""?",To be,"To be or not to be, that is the question."
The winner of the FIA World Endurance Championship in 2013 drove the Toyota TF101 with who?,Mika Salo,"The winner of the FIA World Endurance Championship in 2013 drove the Toyota TF101 with Mika Salo, who was his co-driver."
What position did the current Leader of Fine Gael hold from 2016 until 2017?,Minister for Social Protection,"The current Leader of Fine Gael, who held the position of Minister for Social Protection from 2016 until 2017, has made significant contributions in the field of social welfare during their tenure."
Which Victorian poet was born in a 15th-century castle home to the Earl of Southesk?,Charlotte Carnegie,"Charlotte Carnegie, the Victorian poet, was born in a 15th-century castle that served as the ancestral home of the Earl of Southesk."
What unit of the Air National Guard is located at a base that was home to the 509th Bomb Wing flying the General Dynamics FB-111A?,133d Air Refueling Squadron,The 133d Air Refueling Squadron is the unit of the Air National Guard that is located at a base that was home to the 509th Bomb Wing flying the General Dynamics FB-111A.
What retailer did Albert Heijn start up that eventually merged with the Delhaize Group?,Koninklijke Ahold N.V.,"Albert Heijn started up Koninklijke Ahold N.V., which eventually merged with the Delhaize Group."
"The Light Princess was inspired by ""what"" literary tale published by Charles Perrault in 1697?",Sleeping Beauty,"The Light Princess was inspired by the literary tale of Sleeping Beauty, which was published by Charles Perrault in 1697."
"A small regional passenger airline from Killeen, Texas moved its operations from a city owned public airport 6 miles northwest of Downtown Dallas to what airport?",Dallas/Fort Worth International Airport,"The small regional passenger airline from Killeen, Texas moved its operations from a city owned public airport 6 miles northwest of Downtown Dallas to Dallas/Fort Worth International Airport."
"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree that can be abbreviated MS, M.S., or ScM, in what field?",Engineering,"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree in Engineering, which can be abbreviated as MS, M.S., or ScM."
"Flower Alley was bred by the trainer who was killed at what Fayette County, Kentucky airport?",Blue Grass Airport,"Flower Alley was bred by the trainer who was tragically killed at Blue Grass Airport in Fayette County, Kentucky."
"Domestic Disturbance stars an actor who voiced what character in ""Monsters, Inc.""?",Randall Boggs,"Randall Boggs, the character voiced by the actor, is featured in the movie ""Monsters, Inc."""
This Australian racing driver currently drives the No. 22 Holden VF Commodore produced by Holden Commodore which manufactures what other models?,sedan and station wagon,Holden Commodore manufactures other models such as sedans and station wagons.
"Who was born first, Vladimir Nabokov or Harper Lee?",Vladimir Vladimirovich Nabokov,Vladimir Vladimirovich Nabokov was born first.
Little Brown Stein is a rivalry trophy that imitates a mug made out of what item?,stoneware,The Little Brown Stein is a rivalry trophy that imitates a mug made out of stoneware.
"Who was born first, Lawrence Ferlinghetti or Luigi Pirandello?",Luigi Pirandello,Luigi Pirandello was born first.
Which Record Company reissued an Avenged Sevenfold Album that only sold 300 copies?,Hopeless Records,"Hopeless Records reissued an Avenged Sevenfold album that only sold 300 copies, giving the band a second chance to reach a wider audience."
When was the company that produced rectangular crackers that have 18 holes in a 3x6 pattern founded?,1853,The company that produced rectangular crackers that have 18 holes in a 3x6 pattern was founded in 1853.
What US city between New York and Quebec Canada was the most effected during the Taconic orogeny?,New England,The US city between New York and Quebec Canada that was the most affected during the Taconic orogeny was New England.
"Between the two operas, Mosè in Egitto and Lucrezia Borgia, which one has more acts?",Mosè in Egitto,Mosè in Egitto has more acts than Lucrezia Borgia.
What movies has Juno Temple starred in?,"She has appeared in films such as "" Black Mass"", ""The Other Boleyn Girl"", ""Wild Child"", ""Atonement"", ""Maleficent"", ""The Three Musketeers"" and ""The Dark Knight Rises"".","Juno Temple has appeared in films such as ""Black Mass"", ""The Other Boleyn Girl"", ""Wild Child"", ""Atonement"", ""Maleficent"", ""The Three Musketeers"", and ""The Dark Knight Rises""."
Which as more species Cassiope or Deutzia?,Deutzia,Deutzia has more species than Cassiope.
"Which of the actress starred in  Zombie Night appeared in the 1998 erotic thriller ""Wild Things""?",Jennifer Taylor,"Jennifer Taylor, the actress who starred in Zombie Night, also appeared in the 1998 erotic thriller ""Wild Things""."
"David Wayne Hull (born 1962 or 1963) is a leader of which group that originated in Mississippi in the early 1960s under the leadership of Samuel Bowers, its first Grand Wizard?",White Knights,"David Wayne Hull (born 1962 or 1963) is a leader of the White Knights, a group that originated in Mississippi in the early 1960s under the leadership of Samuel Bowers, its first Grand Wizard."
How many Grammy awards were won by an album named after the Joni Mitchell song from Love Actually?,two Grammy awards,The album named after the Joni Mitchell song from Love Actually won two Grammy awards.
When was the group formed whose Japanese debut EP/ video album is called Nobody for Everybody ?,2006,The group whose Japanese debut EP/ video album is called Nobody for Everybody was formed in 2006.
When was the son of Kingsley Amis born ?,1949,The son of Kingsley Amis was born in 1949.
Lean on Pete stars the actor best known for playing what role in Granite Flats?,Timmy Sanders,"Lean on Pete stars Timmy Sanders, the actor best known for playing the role of [character's name] in Granite Flats."
What star of a Matthew Senreich and Zeb Wells comedy was born in July of 1983?,Heidi Lynn Gardner,"Heidi Lynn Gardner, the star of a Matthew Senreich and Zeb Wells comedy, was born in July of 1983."
What other jobs did the actress Olivia Munn from Mortdecai have?,model,"Olivia Munn, the actress from Mortdecai, also had a career as a model."
Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,"Gatwick Airport, which is located in south-east England, ranks as the 8th busiest airport in Europe and replaced Croydon Airport."
Both Alexander Hall and Pierre Morel are involved in which profession?,film director,Both Alexander Hall and Pierre Morel are involved in the profession of film directing.
What type of movies are 101 Dalmatians and G-Force?,American family comedy adventure,101 Dalmatians and G-Force are American family comedy adventure movies that are sure to entertain audiences of all ages.
Who was the winner of the season of The Rap Game where a contestant named Lady Leshurr as one of her influences?,Mani,Mani was the winner of the season of The Rap Game where a contestant named Lady Leshurr as one of her influences.
"What Box Codax group musician was also the guitarist, backing/lead vocalist and keyboardist of another Glasgow-based band?","Nicholas John ""Nick"" McCarthy","Nicholas John ""Nick"" McCarthy, who was a Box Codax group musician, also served as the guitarist, backing/lead vocalist, and keyboardist of another Glasgow-based band."
"Professional cyclist Sara Symington competed in which Olympic Games held in Sydeney, Australia?",2000 Summer Olympic Games,"Sara Symington competed in the 2000 Summer Olympic Games held in Sydney, Australia."
"Which super bowl that took place at the Miami Dolphins home stadium, featured the San Francisco 49ers defeating the San Diego Chargers?",Super Bowl XXIX,"Super Bowl XXIX, which took place at the Miami Dolphins home stadium, featured the San Francisco 49ers defeating the San Diego Chargers."
What cover for the main game of NBA 2K16 earned a gold medal playing with Team USA at the 2012 Summer Olympics?,Anthony Davis,"The cover for the main game of NBA 2K16 featured Anthony Davis, who earned a gold medal playing with Team USA at the 2012 Summer Olympics."
What 4 divisions make up the company of the wealthiest person in Georgia?,"newspapers, television, radio, cable television","The company of the wealthiest person in Georgia is comprised of four divisions, which include newspapers, television, radio, and cable television."
