Question,Answers,base_response,synonyms,synonym_responses,generated_samples,antonyms,antonym_responses,selfcheck_score
"The moon represents my heart is a mandarin song made famous by Teresa Teng, what other language does she sing in?","Taiwanese Hokkien, Cantonese, Japanese, Indonesian and English","Teresa Teng also sings in Japanese, English, and other languages.","1. Teresa Teng is known to sing in various languages, including Japanese and English.;2. In addition to Chinese, Teresa Teng's repertoire includes songs in Japanese and English.;3. Apart from her Mandarin hits, Teresa Teng has sung in Japanese, English, and other languages.;4. Teresa Teng showcases her multilingual talent by singing in Japanese, English, and other languages.;5. Teresa Teng's linguistic diversity shines through as she performs in Japanese, English, and other languages.",YES;YES;YES;YES;NO,"Teresa Teng also sings in Japanese, Cantonese, and English.;Teresa Teng also sang in Japanese, Cantonese, and English in addition to Mandarin.;Teresa Teng also sings in Taiwanese, Cantonese, Japanese, and English.;Teresa Teng also sang in Japanese, English, Cantonese, and other languages besides Mandarin.;Teresa Teng also sang in Cantonese, Japanese, and English among other languages.;Teresa Teng also sang in Japanese, English, and other languages besides Mandarin.;Teresa Teng also sang in Japanese and Cantonese.;Teresa Teng sings in Mandarin, Cantonese, Japanese, and English.;Teresa Teng, known for ""The Moon Represents My Heart"" in Mandarin, also sings in Japanese, Cantonese, and English.;Teresa Teng also sings in Japanese, English, and other languages.","1. Teresa Teng does not sing in Japanese, English, or other languages.;2. Singing in Japanese, English, and other languages is not something Teresa Teng does.;3. Teresa Teng does not explore singing in various languages such as Japanese and English.;4. Japanese, English, and other languages are not the languages Teresa Teng sings in.;5. Teresa Teng is not known for her singing in Japanese, English, or other languages.",NO;NO;NO;YES;NO,0.0
Are both movies Nerdcore Rising and What Would Jesus Buy? focused on similar topics?,no,"Both movies ""Nerdcore Rising"" and ""What Would Jesus Buy?"" cover different topics, with ""Nerdcore Rising"" exploring the underground music genre of nerdcore hip hop, while ""What Would Jesus Buy?"" delves into consumer culture and the commercialization of Christmas.","1. The subjects of ""Nerdcore Rising"" and ""What Would Jesus Buy?"" are distinct, as the former delves into nerdcore hip hop, while the latter examines consumerism and Christmas commercialization.;2. ""Nerdcore Rising"" centers on the underground music genre of nerdcore hip hop, whereas ""What Would Jesus Buy?"" focuses on consumer culture and the commercialization of Christmas.;3. While ""Nerdcore Rising"" delves into nerdcore hip hop, ""What Would Jesus Buy?"" explores consumer culture and the commercialization of Christmas, showcasing different themes.;4. The themes in ""Nerdcore Rising"" revolve around nerdcore hip hop, contrasting with ""What Would Jesus Buy?"" which scrutinizes consumer culture and Christmas commercialization.;5. ""Nerdcore Rising"" explores nerdcore hip hop, while ""What Would Jesus Buy?"" sheds light on the commercialization of Christmas and consumer culture, presenting disparate subjects.",YES;YES;YES;YES;YES,"Both movies ""Nerdcore Rising"" and ""What Would Jesus Buy?"" tackle different themes, with ""Nerdcore Rising"" exploring the subculture of nerdcore hip hop music and ""What Would Jesus Buy?"" examining consumerism and the commercialization of Christmas.;Both movies, Nerdcore Rising and What Would Jesus Buy?, are focused on different topics.;Both movies ""Nerdcore Rising"" and ""What Would Jesus Buy?"" tackle different topics, with the former focusing on the nerdcore music genre and the latter on consumerism during the holiday season.;Both movies, Nerdcore Rising and What Would Jesus Buy?, have different focuses - Nerdcore Rising features the subculture of nerdcore hip-hop music, while What Would Jesus Buy? examines consumerism and holiday shopping habits.;Both movies ""Nerdcore Rising"" and ""What Would Jesus Buy?"" address distinct topics, with ""Nerdcore Rising"" exploring the niche music genre of nerdcore rap while ""What Would Jesus Buy?"" delves into the consumer culture and its impact on society.;Both movies, Nerdcore Rising and What Would Jesus Buy?, have different themes with the former discussing the niche music genre of nerdcore and the latter examining the commercialization of Christmas.;Both movies, ""Nerdcore Rising"" and ""What Would Jesus Buy?"", do not focus on similar topics, with the former following a nerdcore hip-hop artist and the latter exploring consumerism during Christmas.;Both movies Nerdcore Rising and What Would Jesus Buy? focus on different yet intersecting topics, with Nerdcore Rising centering on the nerdcore music genre and What Would Jesus Buy? on consumerism and Christmas culture.;Both movies ""Nerdcore Rising"" and ""What Would Jesus Buy?"" focus on different topics, with ""Nerdcore Rising"" exploring the genre of nerdcore hip-hop music and ""What Would Jesus Buy?"" examining consumer culture and materialism.;Both movies ""Nerdcore Rising"" and ""What Would Jesus Buy?"" cover different topics, with ""Nerdcore Rising"" exploring the underground music genre of nerdcore hip hop, while ""What Would Jesus Buy?"" delves into consumer culture and the commercialization of Christmas.","1. Both movies ""Nerdcore Rising"" and ""What Would Jesus Buy?"" cover the same topics.;2. ""Nerdcore Rising"" and ""What Would Jesus Buy?"" both delve into the underground music genre of nerdcore hip hop.;3. The movie ""Nerdcore Rising"" focuses on the commercialization of Christmas.;4. ""What Would Jesus Buy?"" explores the underground music genre of nerdcore hip hop.;5. ""Nerdcore Rising"" and ""What Would Jesus Buy?"" both tackle consumer culture.",NO;YES;NO;NO;YES,0.0
"Which has more members, Dada or Alt-J?",Alt-J,Alt-J has more members than Dada.,1. Alt-J exceeds Dada in the number of group members.;2. Dada has fewer members compared to Alt-J.;3. The band Alt-J outnumbers Dada in terms of members.;4. Alt-J boasts a larger membership than Dada.;5. Dada falls behind Alt-J in terms of group size.,NO;NOT SURE.;NO;NO;NO,Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.;Alt-J has more members than Dada.,1. Dada has more members than Alt-J.;2. Alt-J does not have more members than Dada.;3. Dada has a larger number of members compared to Alt-J.;4. Alt-J is not the group with the most members in comparison to Dada.;5. Dada surpasses Alt-J in the number of members.,NOT SURE;YES;NOT SURE;NOT SURE;NO,0.0
 Park Seo-joon is best known for his role in a series that premiered on what month and day?,22-May,Park Seo-joon is best known for his role in a series that premiered on July 26th.,"1. July 26th marks the premiere date of the series that Park Seo-joon is renowned for.;2. The series that brought Park Seo-joon recognition debuted on July 26th.;3. Park Seo-joon gained fame for his role in a series that first aired on July 26th.;4. The renowned series starring Park Seo-joon was first broadcast on July 26th.;5. On July 26th, the series that solidified Park Seo-joon's reputation was released.",NOT SURE;NO;NO;NOT SURE;YES,"Park Seo-joon is best known for his role in a series that premiered on December 1st.;Park Seo-joon is best known for his role in a series that premiered on December 13th.;Park Seo-joon is best known for his role in a series that premiered on December 16th.;Park Seo-joon is best known for his role in the series “Itaewon Class,” which premiered on January 31.;Park Seo-joon is best known for his role in a series that premiered on December 14th.;Park Seo-joon is best known for his role in a series that premiered on July 5th.;Park Seo-joon is best known for his role in a series that premiered on December 16th.;Park Seo-joon is best known for his role in a series that premiered on January 6th.;Park Seo-joon is best known for his role in a series that premiered on July 5th.;Park Seo-joon is best known for his role in a series that premiered on July 26th.",1. Park Seo-joon is not best known for his role in a series that premiered on July 26th.;2. July 26th is not the day a series starring Park Seo-joon premiered.;3. The series that Park Seo-joon is best known for did not premiere on July 26th.;4. Park Seo-joon is not best known for his role in a series that aired on July 26th.;5. July 26th is not the date when Park Seo-joon's series premiered.,NO;YES;NOT SURE;NO;YES,1.0
St. John of the Cross Episcopal Church has a rectory that was in a style that was a product of what earlier style?,Hellenism,"The rectory at St. John of the Cross Episcopal Church was built in the Gothic Revival style, which was a product of the earlier Gothic architecture.","1. The rectory at St. John of the Cross Episcopal Church was constructed in the Gothic Revival style, a style that emerged from the preceding Gothic architecture.;2. St. John of the Cross Episcopal Church's rectory was designed in the Gothic Revival style, which evolved from the prior Gothic architectural style.;3. The rectory at St. John of the Cross Episcopal Church showcases Gothic Revival architecture, deriving from the earlier Gothic style.;4. St. John of the Cross Episcopal Church's rectory was established in the Gothic Revival fashion, influenced by the earlier Gothic architectural style.;5. A product of the earlier Gothic architecture, the Gothic Revival style is exemplified in the design of the rectory at St. John of the Cross Episcopal Church.",YES;YES;YES;YES;YES,"The rectory at St. John of the Cross Episcopal Church was in the Gothic Revival style which was a product of the earlier Gothic architecture.;The rectory at St. John of the Cross Episcopal Church is in a style that was a product of the Gothic Revival style.;The rectory of St. John of the Cross Episcopal Church was built in a Gothic Revival style that was a product of the earlier Gothic architecture.;The rectory at St. John of the Cross Episcopal Church was in a style that was a product of the Gothic Revival style that became popular in the 19th century.;The rectory at St. John of the Cross Episcopal Church is in a style that was a product of Gothic Revival architecture.;The rectory at St. John of the Cross Episcopal Church was in a Neo-Gothic style that was a product of the Gothic Revival style that was popular in the 19th century.;The rectory at St. John of the Cross Episcopal Church was built in a Gothic Revival style, which was a product of the earlier Gothic architecture style.;The rectory at St. John of the Cross Episcopal Church was built in a style that was a product of the Gothic Revival style.;The rectory at St. John of the Cross Episcopal Church is in a style that was a product of Gothic Revival architecture.;The rectory at St. John of the Cross Episcopal Church was built in the Gothic Revival style, which was a product of the earlier Gothic architecture.",1. The rectory at St. John of the Cross Episcopal Church was not built in the Gothic Revival style.;2. The earlier Gothic architecture did not influence the style of the rectory at St. John of the Cross Episcopal Church.;3. The rectory at St. John of the Cross Episcopal Church was not a product of the earlier Gothic architecture.;4. The Gothic Revival style was not used in the construction of the rectory at St. John of the Cross Episcopal Church.;5. The rectory at St. John of the Cross Episcopal Church was not influenced by the earlier Gothic architecture.,NOT SURE;NOT SURE;YES;NOT SURE;NO,0.0
The Gate is a song from the album scheduled for release in what month?,Nov-17,The Gate is a song from the album scheduled for release in October.,"1. The Gate is a track from the album set to debut in October.;2. October is when the album containing The Gate is slated for release.;3. The album with the song The Gate is planned to come out in October.;4. October marks the release month for the album featuring The Gate.;5. The album, which includes The Gate, is expected to be released in October.",YES;YES;NOT SURE;NO;YES,The Gate is a song from the album scheduled for release in September.;The Gate is a song from the album scheduled for release in September.;The Gate is a song from the album scheduled for release in October.;The Gate is a song from the album scheduled for release in September.;The Gate is a song from the album scheduled for release in September.;The Gate is a song from the album scheduled for release in September.;The Gate is a song from the album scheduled for release in October.;The Gate is a song from the album scheduled for release in November.;The Gate is a song from the album scheduled for release in September.;The Gate is a song from the album scheduled for release in October.,"1. The Gate is not a song from the album scheduled for release in October.;2. October is not the month when The Gate, a song, is from the album scheduled for release.;3. The album with The Gate as one of its songs is not set for release in October.;4. The album releasing in October does not include The Gate as a song.;5. The song The Gate is not part of the album planned for release in October.",YES;NO;NO;NO;NOT SURE,1.0
Who won the special election in 2014 to replace Bill Young?,David Jolly,David Jolly won the special election in 2014 to replace Bill Young.,"1. David Jolly emerged victorious in the 2014 special election to take over Bill Young's position.;2. The special election in 2014 saw David Jolly as the winner, succeeding Bill Young.;3. The replacement for Bill Young in the 2014 special election was David Jolly, who secured the victory.;4. In the 2014 special election, David Jolly was elected to fill the vacancy left by Bill Young.;5. The 2014 special election resulted in David Jolly being chosen to step into Bill Young's shoes.",YES;YES;YES;YES;NO,David Jolly won the special election in 2014 to replace Bill Young.;David Jolly won the special election in 2014 to replace Bill Young.;Alex Sink won the special election in 2014 to replace Bill Young.;David Jolly won the special election in 2014 to replace Bill Young.;Alex Sink won the special election in 2014 to replace Bill Young.;David Jolly won the special election in 2014 to replace Bill Young.;David Jolly won the special election in 2014 to replace Bill Young.;David Jolly won the special election in 2014 to replace Bill Young.;Alex Sink won the special election in 2014 to replace Bill Young.;David Jolly won the special election in 2014 to replace Bill Young.,1. David Jolly did not win the special election in 2014 to replace Bill Young.;2. The winner of the special election in 2014 to replace Bill Young was not David Jolly.;3. The special election in 2014 to replace Bill Young was not won by David Jolly.;4. It was not David Jolly who won the special election in 2014 to replace Bill Young.;5. The individual who won the special election in 2014 to replace Bill Young was not David Jolly.,NO;NO;NO;NO;NO,0.2
"A Car-Tune Portrait was released on June 26, 1937, the cartoon gives an imaginative take on which second in a set of works by composer Franz Liszt?",Hungarian Rhapsody No. 2,"""A Car-Tune Portrait gives an imaginative take on the second piece, 'The Gnome,' from Franz Liszt's 'Mephisto Waltzes.'"".","1. In the animated film ""A Car-Tune Portrait,"" an imaginative twist is given to the second composition, 'The Gnome,' from Franz Liszt's 'Mephisto Waltzes.';2. 'The Gnome' from Franz Liszt's 'Mephisto Waltzes' is creatively reimagined in the cartoon ""A Car-Tune Portrait."";3. Within the context of 'A Car-Tune Portrait,' the second work from Franz Liszt's 'Mephisto Waltzes,' 'The Gnome,' is whimsically portrayed.;4. Franz Liszt's composition 'The Gnome,' the second piece from 'Mephisto Waltzes,' is playfully interpreted in the cartoon ""A Car-Tune Portrait."";5. 'A Car-Tune Portrait' offers a unique perspective on 'The Gnome,' the second segment of Franz Liszt's 'Mephisto Waltzes.'",YES;NOT SURE;YES;NO;NOT SURE,"""A Car-Tune Portrait gives an imaginative take on the second in a set of works by composer Franz Liszt known as 'Hungarian Rhapsodies.'"";""A Car-Tune Portrait provides an imaginative interpretation of the second piece in Franz Liszt's set of Hungarian Rhapsodies."";""A Car-Tune Portrait gives an imaginative take on the second in a set of works by composer Franz Liszt called 'Hungarian Rhapsodies'."";""A Car-Tune Portrait was released on June 26, 1937, and it offers an imaginative portrayal of the second in Liszt's set of works entitled 'Liebesträume'."";""A Car-Tune Portrait"" gives an imaginative take on the second Hungarian Rhapsody by composer Franz Liszt.;""A Car-Tune Portrait, released on June 26, 1937, gives an imaginative take on the second piece of Franz Liszt's Transcendental Études set."";""A Car-Tune Portrait, released on June 26, 1937, gives an imaginative take on the second in a set of works by composer Franz Liszt."";""A Car-Tune Portrait was released on June 26, 1937, and gives an imaginative take on the second piece in a set of works by composer Franz Liszt, which is 'Hungarian Rhapsody No. 2'."";""A Car-Tune Portrait was released on June 26, 1937, giving an imaginative take on the second piece in Franz Liszt's set of works titled 'Liebesträume'."";""A Car-Tune Portrait gives an imaginative take on the second piece, 'The Gnome,' from Franz Liszt's 'Mephisto Waltzes.'"".","1. ""A Car-Tune Portrait does not give an imaginative take on the second piece, 'The Gnome,' from Franz Liszt's 'Mephisto Waltzes.'"";2. ""The second piece in Franz Liszt's 'Mephisto Waltzes' is not the focus of the imaginative take in A Car-Tune Portrait."";3. ""The cartoon A Car-Tune Portrait does not depict the second piece, 'The Gnome,' from Franz Liszt's 'Mephisto Waltzes' in an imaginative way."";4. ""Franz Liszt's 'Mephisto Waltzes' is not the source of inspiration for the second piece in A Car-Tune Portrait."";5. ""The cartoon A Car-Tune Portrait does not creatively interpret the 'Mephisto Waltzes' by Franz Liszt, particularly the second piece, 'The Gnome.'""",NO;NO;NOT SURE;NOT SURE;NO,0.9
The musical composer of Manru was a spokesman for what country's independence?,Polish independence,"The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Poland's independence.","1. Ignacy Jan Paderewski, the composer behind Manru, advocated for the independence of Poland.;2. Poland's independence was championed by Ignacy Jan Paderewski, who composed Manru.;3. The composer Ignacy Jan Paderewski was a proponent of Poland's freedom from oppressors like Russia, making him a significant figure in the country's independence movement.;4. Ignacy Jan Paderewski, known for his composition of Manru, played a key role as a spokesperson for Poland's liberation.;5. Poland's struggle for independence found a staunch supporter in Ignacy Jan Paderewski, the composer of Manru.",YES;NOT SURE;YES;YES;YES,"The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Polish independence.;The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Polish independence.;The musical composer of Manru was a spokesman for Poland's independence.;The musical composer of Manru, Ignacy Jan Paderewski, was a prominent spokesman for Poland's independence in the early 20th century.;The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Polish independence.;The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Polish independence.;The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Poland's independence.;The musical composer of Manru was a spokesman for Poland's independence.;The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Poland's independence.;The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for Poland's independence.","1. The musical composer of Manru, Ignacy Jan Paderewski, was not a spokesman for Poland's independence.;2. Ignacy Jan Paderewski, the musical composer of Manru, was not a spokesman for Poland's independence.;3. Poland's independence was not advocated for by the musical composer of Manru, Ignacy Jan Paderewski.;4. The musical composer of Manru, Ignacy Jan Paderewski, was a spokesman for a country other than Poland's independence.;5. The musical composer of Manru was not a spokesman for Independence of Poland.",YES;NOT SURE;NOT SURE;YES;YES,0.0
King of Norway Magnus Barefoot launched aggressive military campaigns in this region that was at times independent of external control and was known to the Norse as what?,Southern Isles,King of Norway Magnus Barefoot launched aggressive military campaigns in the region known to the Norse as the Kingdom of Ireland.,"1. The Norse referred to the region where King of Norway Magnus Barefoot initiated military campaigns as the Kingdom of Ireland.;2. The Kingdom of Ireland, as named by the Norse, was the target of the aggressive military campaigns led by King of Norway Magnus Barefoot.;3. King Magnus Barefoot of Norway directed intense military endeavors towards the region the Norse identified as the Kingdom of Ireland.;4. Within the Norse context, the domain labeled as the Kingdom of Ireland was the focal point of King Magnus Barefoot of Norway's militaristic actions.;5. The Norse term for the region, the Kingdom of Ireland, witnessed King Magnus Barefoot of Norway's forceful military expeditions.",NO;YES;YES;NOT SURE.;NO,"King of Norway Magnus Barefoot launched aggressive military campaigns in the region known to the Norse as the Irish Sea.;King of Norway Magnus Barefoot launched aggressive military campaigns in the region known to the Norse as the Kingdom of the Isles.;King Magnus Barefoot launched aggressive military campaigns in the region known to the Norse as the Kingdom of Mann and the Isles.;King of Norway Magnus Barefoot launched aggressive military campaigns in the region of the Irish Sea, known to the Norse as the Sudreyar.;King of Norway Magnus Barefoot launched aggressive military campaigns in the Irish Sea region, which was sometimes independent of external control and known to the Norse as the Suðreyjar.;King of Norway Magnus Barefoot launched aggressive military campaigns in this region that was at times independent of external control and was known to the Norse as ""The Isles."";King of Norway Magnus Barefoot launched aggressive military campaigns in the region of Scotland, known to the Norse as ""Skoðin."";King of Norway Magnus Barefoot launched aggressive military campaigns in the region known to the Norse as the Kingdom of the Isles.;King of Norway Magnus Barefoot launched aggressive military campaigns in the region that was at times independent of external control and was known to the Norse as the Isles of the Orkneys.;King of Norway Magnus Barefoot launched aggressive military campaigns in the region known to the Norse as the Kingdom of Ireland.","1. King of Norway Magnus Barefoot did not launch aggressive military campaigns in the region known to the Norse as the Kingdom of Ireland.;2. The King of Norway Magnus Barefoot did not launch aggressive military campaigns in the Kingdom of Ireland.;3. The region known to the Norse as the Kingdom of Ireland was not the target of King of Norway Magnus Barefoot's aggressive military campaigns.;4. King of Norway Magnus Barefoot did not target the independent region known to the Norse as the Kingdom of Ireland with aggressive military campaigns.;5. The Kingdom of Ireland, known to the Norse, did not experience aggressive military campaigns by King of Norway Magnus Barefoot.",NO;NOT SURE;YES;NO;NO,0.7
"New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named what?",Marlborough,"New Hampshire Route 124 runs between two regions; one of them is found in Cheshire County, New Hampshire, United States with a population of about 2000 and is named Jaffrey.","1. New Hampshire Route 124 connects two areas, one of them situated in Cheshire County, New Hampshire, United States, housing around 2000 inhabitants and goes by the name Jaffrey.;2. Jaffrey is the designated name for the region with a population of approximately 2000 located in Cheshire County, New Hampshire, United States, linked by New Hampshire Route 124.;3. One of the regions encompassed by New Hampshire Route 124, with around 2000 residents, positioned in Cheshire County, New Hampshire, United States, is recognized as Jaffrey.;4. The area known as Jaffrey, with an estimated population of 2000, falls within Cheshire County, New Hampshire, United States, and is interlinked by New Hampshire Route 124.;5. Jaffrey is the specified location housing about 2000 people in Cheshire County, New Hampshire, United States, connected by the passage of New Hampshire Route 124.",YES;YES;YES;YES;YES,"New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named Marlborough.;New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with a population of about 2000 and is named Marlborough.;New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named Harrisville.;New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named Chesterfield.;New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named the Town of Marlborough.;New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named Marlborough.;New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named Westmoreland.;New Hampshire Route 124 runs between regions including Harrisville in Cheshire County, New Hampshire, United States, with a population of about 2000.;New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named Drewsville.;New Hampshire Route 124 runs between two regions; one of them is found in Cheshire County, New Hampshire, United States with a population of about 2000 and is named Jaffrey.","1. New Hampshire Route 124 does not run between two regions, one of which is named Jaffrey.;2. The region found in Cheshire County, New Hampshire, United States, with a population of about 2000 is not named Jaffrey and is not located along New Hampshire Route 124.;3. Jaffrey is not the name of the region with a population of about 2000 found in Cheshire County, New Hampshire, United States, along New Hampshire Route 124.;4. The region with a population of about 2000 along New Hampshire Route 124 in Cheshire County, New Hampshire, United States is not called Jaffrey.;5. It is not true that Jaffrey is the name of the region with a population of about 2000 in Cheshire County, New Hampshire, United States, situated along New Hampshire Route 124.",NOT SURE;NO;YES;NO;NO,0.5
Who directed the 1971 film in which Pat Ashton starred in?,Harry Booth,"Pat Ashton starred in the 1971 film ""The Magnificent Seven Deadly Sins,"" which was directed by Graham Stark.","1. Graham Stark directed the film ""The Magnificent Seven Deadly Sins,"" in which Pat Ashton had a starring role in 1971.;2. The 1971 film ""The Magnificent Seven Deadly Sins,"" where Pat Ashton played a part, was helmed by Graham Stark.;3. In 1971, Graham Stark was the director of ""The Magnificent Seven Deadly Sins,"" a film featuring Pat Ashton in a prominent role.;4. The director of the 1971 movie ""The Magnificent Seven Deadly Sins,"" starring Pat Ashton, was Graham Stark.;5. ""The Magnificent Seven Deadly Sins,"" a 1971 film with Pat Ashton in a key role, was guided by director Graham Stark.",NO;NO;NOT SURE;NO;NOT SURE,"The 1971 film starring Pat Ashton was directed by Sidney Hayers.;The 1971 film starring Pat Ashton was directed by Cliff Owen.;Pat Ashton starred in the 1971 film directed by Norman Cohen.;Pat Ashton starred in the 1971 film ""The Magnificent Seven Deadly Sins"" directed by Graham Stark.;The 1971 film in which Pat Ashton starred in was directed by Charlie Crichton.;The 1971 film that Pat Ashton starred in was directed by Richard Lester.;The 1971 film that Pat Ashton starred in was directed by Norman Cohen.;Pat Ashton starred in the 1971 film ""All Coppers Are..."" directed by Sidney Hayers.;Pat Ashton starred in the 1971 film ""What's the Matter with Helen?"" directed by Curtis Harrington.;Pat Ashton starred in the 1971 film ""The Magnificent Seven Deadly Sins,"" which was directed by Graham Stark.","1. Pat Ashton did not star in the 1971 film ""The Magnificent Seven Deadly Sins."";2. Graham Stark did not direct the 1971 film ""The Magnificent Seven Deadly Sins"" that Pat Ashton starred in.;3. The 1971 film ""The Magnificent Seven Deadly Sins"" did not feature Graham Stark as the director and Pat Ashton as a star.;4. The 1971 film in which Pat Ashton starred in was not directed by Graham Stark.;5. ""The Magnificent Seven Deadly Sins"" was not directed by Graham Stark and did not star Pat Ashton in 1971.",NOT SURE;YES;NO;NOT SURE;NO,1.0
In what city does the most successful American and international five-and-dime business have a historic building?,"Watertown, New York",The most successful American and international five-and-dime business has a historic building in New York City.,1. The historic building of the most prosperous American and global five-and-dime enterprise can be found in New York City.;2. New York City is home to the historic establishment of the most thriving American and worldwide five-and-dime business.;3. The city where the most accomplished American and international five-and-dime business has a historic building is New York City.;4. New York City hosts the historic structure of the most triumphant American and global five-and-dime company.;5. The historic building in New York City belongs to the most successful American and international five-and-dime business.,NO;NOT SURE;NO;NO;NO,"The most successful American and international five-and-dime business has a historic building in the city of Bentonville, Arkansas.;The most successful American and international five-and-dime business has a historic building in New York City.;Woolworth Building located in New York City was the site of the most successful American and international five-and-dime business.;The most successful American and international five-and-dime business has a historic building in New York City.;The most successful American and international five-and-dime business has a historic building in New York City.;The most successful American and international five-and-dime business has a historic building in New York City.;The most successful American and international five-and-dime business, Woolworth, has a historic building in New York City.;The most successful American and international five-and-dime business has a historic building in New York City.;The most successful American and international five-and-dime business has a historic building in New York City.;The most successful American and international five-and-dime business has a historic building in New York City.",1. The most successful American and international five-and-dime business does not have a historic building in New York City.;2. New York City is not where the most successful American and international five-and-dime business has a historic building.;3. The historic building of the most successful American and international five-and-dime business is not located in New York City.;4. It is not in New York City where the most successful American and international five-and-dime business has a historic building.;5. The most successful American and international five-and-dime business does not possess a historic building in New York City.,NO;YES;YES;YES;YES,0.1
"When was the father of the professional ice hockey player with the middle name ""Fosgaard"" born?",13-Jun-60,"The father of the professional ice hockey player with the middle name ""Fosgaard"" was born at an unknown date.","1. The birthdate of the father of the professional ice hockey player with the middle name ""Fosgaard"" remains a mystery.;2. The father of the professional ice hockey player with the middle name ""Fosgaard"" came into the world on an undisclosed date.;3. The father of the professional ice hockey player bearing the middle name ""Fosgaard""'s birthdate is unknown.;4. The birthdate of the father of the professional ice hockey player who has the middle name ""Fosgaard"" is shrouded in mystery.;5. The father of the professional ice hockey player, middle name ""Fosgaard,"" entered the world at a date that is currently undisclosed.",NOT SURE;NOT SURE;YES;NOT SURE;NO,"The father of the professional ice hockey player with the middle name ""Fosgaard"" was born on August 23, 1962.;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born in [birth year].;The father of the professional ice hockey playerwith the middle name ""Fosgaard"" was born in 1964.;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born in [the specific birth year of the father].;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born on July 22, 1965.;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born on May 3, 1959.;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born on February 4, 1956.;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born in 1965.;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born in 1965.;The father of the professional ice hockey player with the middle name ""Fosgaard"" was born at an unknown date.","1. The father of the professional ice hockey player with the middle name ""Fosgaard"" was not born at an unknown date.;2. The birth date of the father of the professional ice hockey player with the middle name ""Fosgaard"" is known.;3. The father of the professional ice hockey player with the middle name ""Fosgaard"" was born on a known date.;4. The birth of the father of the professional ice hockey player with the middle name ""Fosgaard"" is not a mystery.;5. The father of the professional ice hockey player with the middle name ""Fosgaard"" did not have an unknown birth date.",NOT SURE;NO;NOT SURE;NOT SURE;YES,0.8
