,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
237,237,"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on what 2016 date?",1-Feb,"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on February 1, 2016.","Mike Huckabee announced his candidacy for the 2016 Republican presidential nomination on May 5, 2015, and withdrew from the race on February 1, 2016.","1. Mike Huckabee launched his bid for the 2016 Republican presidential nomination on May 5, 2015, and ceased his campaign on February 1, 2016.;2. The 2016 Republican presidential primaries kicked off on May 5, 2015, with Mike Huckabee's announcement, and he ultimately suspended his candidacy on February 1, 2016.;3. Mike Huckabee declared his candidacy for the 2016 Republican presidential nomination on May 5, 2015, and dropped out of the race on February 1, 2016.;4. Mike Huckabee entered the 2016 Republican presidential nomination contest on May 5, 2015, and withdrew his candidacy on February 1, 2016.;5. Mike Huckabee formally announced his candidacy for the 2016 Republican presidential nomination on May 5, 2015, and ended his campaign on February 1, 2016.",NO;NO;NO;NO;NO,"1. Mike Huckabee did not take part in the most recent Republican Presidential primaries.;2. Mike Huckabee did not announce his candidacy for the 2016 Republican presidential nomination on May 5, 2015.;3. Mike Huckabee did not withdraw from the race on February 1, 2016.;4. Mike Huckabee did not participate in the 2016 Republican presidential nomination.;5. Mike Huckabee was not a candidate in the 2016 Republican presidential election.",NO;NO;NO;NO;NO
238,238,What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox,"The song ""Rudebox"" was number 4 on the charts when a song from FutureSex/LoveSounds was number 1.","According to the Billboard Hot 100 chart for the week of November 18, 2006, the song ""SexyBack"" by Justin Timberlake was number one, and the song ""Say Goodbye"" by Dave Matthews Band was number four.","1. When ""SexyBack"" topped the Billboard Hot 100, ""Say Goodbye"" by Dave Matthews Band held the fourth position.;2. As ""SexyBack"" claimed the number one spot on the Billboard Hot 100, ""Say Goodbye"" by Dave Matthews Band charted at number four.;3. According to the Billboard Hot 100 for November 18, 2006, ""SexyBack"" by Justin Timberlake was number one, while ""Say Goodbye"" by Dave Matthews Band was at number four.;4. On the Billboard Hot 100 chart for November 18, 2006, ""SexyBack"" by Justin Timberlake was the top song, with ""Say Goodbye"" by Dave Matthews Band ranking fourth.;5. During the week of November 18, 2006, ""SexyBack"" by Justin Timberlake dominated the Billboard Hot 100, with ""Say Goodbye"" by Dave Matthews Band coming in at number four.",NO;NO;NO;NO;NO,"1. ""SexyBack"" by Justin Timberlake was not number one on the charts when ""Say Goodbye"" by Dave Matthews Band was number four.;2. ""Say Goodbye"" by Dave Matthews Band was not number four on the charts when ""SexyBack"" by Justin Timberlake was number one.;3. ""SexyBack"" by Justin Timberlake was not number one on the charts when a song from FutureSex/LoveSounds was number one.;4. ""Say Goodbye"" by Dave Matthews Band was not number four on the charts.;5. A song from FutureSex/LoveSounds was not number one on the charts.",NO;NO;NO;NO;NO
239,239,Where do the team that John Grant joined after the 1972 World Cup now play their games ?,Halliwell Jones Stadium,The team that John Grant joined after the 1972 World Cup now play their games at the Halliwell Jones Stadium.,"The team that John Grant joined after the 1972 World Cup, the Australian national team, now plays their home games at various stadiums around the country, with the main venue being the Stadium Australia in Sydney, which has a seating capacity of over 83,000.","1. The Australian national team, to which John Grant joined after the 1972 World Cup, currently hosts their home matches at various stadiums across the nation, with the primary location being the Stadium Australia in Sydney, which boasts a seating capacity of over 83,000.;2. Following the 1972 World Cup, John Grant joined the Australian national team, which now plays their home games at various stadiums throughout the country, with the main venue being the Stadium Australia in Sydney, which has a seating capacity of over 83,000.;3. After the 1972 World Cup, John Grant joined the Australian national team, which now hosts their home matches at various stadiums across the nation, with the primary location being the Stadium Australia in Sydney, which has a seating capacity of over 83,000.;4. The Australian national team, to which John Grant joined after the 1972 World Cup, currently plays their home games at various stadiums around the country, with the main venue being the Stadium Australia in Sydney, which has a seating capacity of over 83,000.;5. Following his move to the Australian national team after the 1972 World Cup, John Grant's new team now plays their home matches at various stadiums throughout the country, with the main venue being the Stadium Australia in Sydney, which has a seating capacity of over 83,000.",YES;NO;NO;NO;NO,"1. The team that John Grant joined after the 1972 World Cup does not now play their home games at various stadiums around the country, with the main venue being the Stadium Australia in Sydney.;2. The Australian national team does not now play their home games at various stadiums around the country, with the main venue being the Stadium Australia in Sydney.;3. The team that John Grant joined after the 1972 World Cup does not now play their home games at the Stadium Australia in Sydney.;4. The Australian national team does not now play their home games at the Stadium Australia in Sydney.;5. The team that John Grant joined after the 1972 World Cup does not now play their home games at the Stadium Australia in Sydney, which has a seating capacity of over 83,000.",NO;NO;NO;NO;NO
240,240,"After joining Saturday Night Live in 2012, Cecily Strong played which character in the sketch ""What Up with That""?",Piper,"After joining Saturday Night Live in 2012, Cecily Strong played the character Piper in the sketch ""What Up with That"".","Cecily Strong played the role of Jenna Maroney, a fictional celebrity, in the recurring Saturday Night Live sketch ""What Up with That"", which debuted in 2008, not in 2012, when she joined the show.","1. Cecily Strong portrayed the character of Jenna Maroney, a fictional celebrity, in the recurring Saturday Night Live sketch ""What Up with That"".;2. Upon joining Saturday Night Live, Cecily Strong took on the role of Jenna Maroney, a fictional celebrity, in the sketch ""What Up with That"".;3. Cecily Strong played the part of Jenna Maroney, a fictional celebrity, in the recurring Saturday Night Live sketch ""What Up with That"", which she joined after her 2012 debut.;4. As a new cast member of Saturday Night Live in 2012, Cecily Strong assumed the character of Jenna Maroney, a fictional celebrity, in the sketch ""What Up with That"".;5. Cecily Strong's character, Jenna Maroney, a fictional celebrity, was a recurring role in the Saturday Night Live sketch ""What Up with That"", which she joined after her 2012 debut.",YES;NO;NO;NO;NO,"1. Cecily Strong did not play the role of Jenna Maroney in the sketch ""What Up with That"".;2. Cecily Strong did not play a character in the sketch ""What Up with That"".;3. The sketch ""What Up with That"" did not feature Cecily Strong playing a character.;4. Cecily Strong did not join Saturday Night Live in 2012.;5. Cecily Strong did not play a fictional celebrity in the sketch ""What Up with That"".",NO;NO;NO;NO;NO
241,241,Who was responsible for the Soviet-Albanian split?,Nikita Khrushchev,"Nikita Khrushchev was responsible for the Soviet-Albanian split, which refers to the deterioration of relations between the Soviet Union and Albania during his leadership.","The Soviet-Albanian split was primarily caused by Albania's increasing independence and anti-Soviet stance, particularly under the leadership of Enver Hoxha, who rejected Soviet influence and eventually broke off diplomatic relations with the Soviet Union in 1961.","1. The Soviet-Albanian split was primarily caused by Albania's growing autonomy and anti-Soviet posture, particularly under the leadership of Enver Hoxha, who rejected Soviet influence and eventually severed diplomatic ties with the Soviet Union in 1961.;2. Enver Hoxha's leadership and Albania's escalating independence from Soviet control led to the Soviet-Albanian split, which culminated in the termination of diplomatic relations between the two nations in 1961.;3. The Soviet-Albanian rift was primarily driven by Albania's increasing self-governance and anti-Soviet stance, particularly under the leadership of Enver Hoxha, who rejected Soviet dominance and eventually cut off diplomatic relations with the Soviet Union in 1961.;4. Albania's rising independence and anti-Soviet posture, spearheaded by Enver Hoxha, were the primary factors behind the Soviet-Albanian split, which ultimately resulted in the severing of diplomatic ties between the two nations in 1961.;5. Enver Hoxha's anti-Soviet stance and Albania's growing independence from Soviet control led to the Soviet-Albanian split, which was marked by the termination of diplomatic relations between the two nations in 1961.",YES;YES;YES;YES;YES,"1. The Soviet-Albanian split was not primarily caused by Albania's increasing independence and anti-Soviet stance.;2. Albania's increasing independence and anti-Soviet stance did not primarily cause the Soviet-Albanian split.;3. The Soviet-Albanian split was not caused by Albania's increasing independence and anti-Soviet stance, particularly under the leadership of Enver Hoxha.;4. The Soviet-Albanian split was not caused by Enver Hoxha's rejection of Soviet influence and the breaking off of diplomatic relations with the Soviet Union in 1961.;5. The Soviet-Albanian split was not caused by any factors.",NO;NO;NO;NO;NO
242,242,"Which of the steering committee was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years?",Walter Cronkite,"Walter Cronkite, who was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years, was a member of the steering committee.","Walter Cronkite was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years.","1. Walter Cronkite was a renowned American broadcast journalist, best known for his 19-year tenure as the anchorman of the ""CBS Evening News"".;2. The American broadcast journalist who served as the long-time anchorman of the ""CBS Evening News"" was Walter Cronkite.;3. Walter Cronkite, a celebrated American journalist, held the position of anchorman for the ""CBS Evening News"" for nearly two decades.;4. As a prominent American broadcast journalist, Walter Cronkite was the face of the ""CBS Evening News"" for an impressive 19 years.;5. Walter Cronkite, a legendary American journalist, spent nearly two decades as the trusted anchorman of the ""CBS Evening News"".",YES;YES;YES;YES;YES,"1. Walter Cronkite was not an American broadcast journalist.;2. Walter Cronkite was not best known as anchorman for the ""CBS Evening News"" for 19 years.;3. The ""CBS Evening News"" was not anchored by Walter Cronkite for 19 years.;4. Walter Cronkite was not anchorman for the ""CBS Evening News"" for 19 years.;5. Walter Cronkite was not anchorman for the ""CBS Evening News"" for any amount of time.",NO;NO;NO;NO;NO
243,243,Who served as the 1st Vice President of Colombia under El Libertador?,Antonio Hilarión Zea Díaz,Antonio Hilarión Zea Díaz served as the 1st Vice President of Colombia under El Libertador.,"Francisco Antonio Zea served as the first Vice President of Colombia under Simón Bolívar, also known as El Libertador, from 1819 to 1821.","1. Francisco Antonio Zea held the position of first Vice President of Colombia under the leadership of Simón Bolívar, also referred to as El Libertador, from 1819 to 1821.;2. As the inaugural Vice President of Colombia, Francisco Antonio Zea served under the guidance of Simón Bolívar, commonly known as El Libertador, from 1819 to 1821.;3. Simón Bolívar's trusted ally, Francisco Antonio Zea, served as the initial Vice President of Colombia from 1819 to 1821, under the esteemed leadership of El Libertador.;4. Francisco Antonio Zea occupied the role of first Vice President of Colombia, working closely with Simón Bolívar, also known as El Libertador, from 1819 to 1821.;5. Francisco Antonio Zea was appointed as the inaugural Vice President of Colombia, serving under the visionary leadership of Simón Bolívar, famously referred to as El Libertador, from 1819 to 1821.",YES;NO;YES;YES;NO,1. Francisco Antonio Zea did not serve as the first Vice President of Colombia under Simón Bolívar.;2. Francisco Antonio Zea was not the first Vice President of Colombia under El Libertador.;3. The first Vice President of Colombia under El Libertador was not Francisco Antonio Zea.;4. Francisco Antonio Zea did not serve as Vice President of Colombia under Simón Bolívar.;5. Francisco Antonio Zea was not the Vice President of Colombia under El Libertador from 1819 to 1821.,NO;NO;NO;NO;NO
244,244,"What is the surname of the recorder of ""Jupiter (Swallow the Moon)""",Kilcher,"The surname of the recorder of ""Jupiter (Swallow the Moon)"" is Kilcher, which is the last name of the artist responsible for recording the song.","The surname of the recorder of ""Jupiter (Swallow the Moon)"" is Flamingo.","1. The surname of the artist behind ""Jupiter (Swallow the Moon)"" is Flamingo.;2. Flamingo is the surname of the musician who recorded ""Jupiter (Swallow the Moon)"".;3. The surname of the vocalist on ""Jupiter (Swallow the Moon)"" is Flamingo.;4. Flamingo is the surname of the singer who recorded ""Jupiter (Swallow the Moon)"".;5. The surname of the performer on ""Jupiter (Swallow the Moon)"" is Flamingo.",NO;NO;NO;NO;NO,"1. The surname of the recorder of ""Jupiter (Swallow the Moon)"" is not Flamingo.;2. Flamingo is not the surname of the recorder of ""Jupiter (Swallow the Moon)"".;3. The recorder of ""Jupiter (Swallow the Moon)"" does not have the surname Flamingo.;4. The surname of the recorder of ""Jupiter (Swallow the Moon)"" is not named Flamingo.;5. Flamingo is not the surname of the person who recorded ""Jupiter (Swallow the Moon)"".",NO;NO;NO;NO;NO
245,245,What Labor member of the House of Representatives in the Australian Parliament was a member of the Australian Labor Party Australian Young Labor?,Tony Burke,"Tony Burke, a Labor member of the House of Representatives in the Australian Parliament, was a member of the Australian Labor Party Australian Young Labor.","Simon Crean, a former Australian Labor Party leader and member of the Australian Parliament, was a member of the Australian Labor Party Australian Young Labor.","1. Simon Crean, a former Australian Labor Party leader and member of the Australian Parliament, was a member of the Australian Labor Party's youth wing.;2. The Australian Labor Party leader and member of the Australian Parliament, Simon Crean, was a part of the Australian Labor Party's Young Labor organization.;3. Simon Crean, a former leader of the Australian Labor Party and member of the Australian Parliament, was a member of the Australian Labor Party's youth division.;4. As a former leader of the Australian Labor Party and member of the Australian Parliament, Simon Crean was also a member of the Australian Labor Party's Young Labor.;5. Simon Crean, a former leader of the Australian Labor Party and member of the Australian Parliament, was actively involved with the Australian Labor Party's youth section.",YES;YES;YES;YES;YES,"1. Simon Crean, a former Australian Labor Party leader and member of the Australian Parliament, was not a member of the Australian Labor Party Australian Young Labor.;2. A former Australian Labor Party leader and member of the Australian Parliament who was a member of the Australian Labor Party Australian Young Labor was not Simon Crean.;3. Simon Crean, a former Australian Labor Party leader and member of the Australian Parliament, was not a member of the Australian Labor Party Australian Young Labor.;4. The Australian Labor Party Australian Young Labor did not have a member who was a former Australian Labor Party leader and member of the Australian Parliament, and that member was not Simon Crean.;5. Simon Crean, a former Australian Labor Party leader and member of the Australian Parliament, was not a member of the Australian Labor Party Australian Young Labor.",NO;NO;NO;NO;NO
246,246,Are Ash Lieb and Elswyth Thane both artists?,no,"No, Ash Lieb and Elswyth Thane are not both artists.","Ash Lieb is a contemporary American artist known for his abstract paintings, while Elswyth Thane was a British-American author and artist who wrote historical fiction novels and illustrated her own book covers.","1. Ash Lieb is a contemporary American artist recognized for his abstract paintings, whereas Elswyth Thane was a British-American author and artist who penned historical fiction novels and designed her own book covers.;2. Both Ash Lieb and Elswyth Thane are creative individuals, with Lieb being a renowned American artist of abstract paintings and Thane being a British-American author and artist who wrote historical fiction novels and illustrated her own book covers.;3. Ash Lieb is a contemporary American artist celebrated for his abstract paintings, whereas Elswyth Thane was a British-American author and artist who wrote historical fiction novels and created her own book cover illustrations.;4. Ash Lieb is a contemporary American artist known for his abstract paintings, and Elswyth Thane was a British-American author and artist who wrote historical fiction novels and designed her own book covers.;5. Ash Lieb is a contemporary American artist recognized for his abstract paintings, and Elswyth Thane was a British-American author and artist who penned historical fiction novels and created her own book cover illustrations.",YES;YES;YES;YES;YES,"1. Ash Lieb is not a contemporary American artist known for his abstract paintings, while Elswyth Thane was a British-American author and artist who wrote historical fiction novels and illustrated her own book covers.;2. Ash Lieb is not an artist, while Elswyth Thane was a British-American author and artist who wrote historical fiction novels and illustrated her own book covers.;3. Elswyth Thane is not an artist, while Ash Lieb is a contemporary American artist known for his abstract paintings.;4. Ash Lieb is a contemporary American artist known for his abstract paintings, and Elswyth Thane was not an artist.;5. Elswyth Thane was a British-American author and artist who wrote historical fiction novels and illustrated her own book covers, and Ash Lieb is not an artist.",NO;NO;NO;NO;NO
247,247,"What type of mansion was built for the founder of the company marketed the oil engine under the ""Hornsby-Akroyd"" name?",Gothic Revival,"The type of mansion that was built for the founder of the company marketed the oil engine under the ""Hornsby-Akroyd"" name was Gothic Revival.","The founder of the company, John I. Thornhill, built a grand mansion called Thornhill Hall in Leeds, West Yorkshire, England, which was designed in the Arts and Crafts style and featured a distinctive clock tower.","1. The founder of the company, John I. Thornhill, constructed a majestic estate called Thornhill Hall in Leeds, West Yorkshire, England, which was designed in the Arts and Crafts style and featured a distinctive clock tower.;2. John I. Thornhill, the founder of the company, built a grand estate called Thornhill Hall in Leeds, West Yorkshire, England, which was designed in the Arts and Crafts style and featured a distinctive clock tower.;3. The founder of the company, John I. Thornhill, erected a stately mansion called Thornhill Hall in Leeds, West Yorkshire, England, which was designed in the Arts and Crafts style and featured a distinctive clock tower.;4. John I. Thornhill, the founder of the company, commissioned the construction of a grand mansion called Thornhill Hall in Leeds, West Yorkshire, England, which was designed in the Arts and Crafts style and featured a distinctive clock tower.;5. The founder of the company, John I. Thornhill, designed and built a grand mansion called Thornhill Hall in Leeds, West Yorkshire, England, which was designed in the Arts and Crafts style and featured a distinctive clock tower.",YES;NO;NO;YES;NO,"1. The founder of the company, John I. Thornhill, did not build a grand mansion called Thornhill Hall in Leeds, West Yorkshire, England.;2. John I. Thornhill did not build a mansion for the company.;3. The company's founder did not build a grand mansion in Leeds, West Yorkshire, England.;4. Thornhill Hall was not built by the founder of the company.;5. The founder of the company did not design Thornhill Hall in the Arts and Crafts style.",NO;NO;NO;NO;NO
248,248,My First Mister co-stars an actor who was best known for his role as what character on the TV series Roseanne?,Dan Conner,"Dan Conner was the character that the actor, who co-stars in My First Mister, was best known for playing on the TV series Roseanne.",The actor who co-starred with Albert Brooks in My First Mister and was best known for his role as Dan Conner on the TV series Roseanne is John Goodman.,"1. The actor who co-starred with Albert Brooks in My First Mister and was best known for his portrayal of Dan Conner on the TV series Roseanne is John Goodman.;2. John Goodman, who co-starred with Albert Brooks in My First Mister, is most famous for his role as Dan Conner on the popular TV series Roseanne.;3. Albert Brooks's co-star in My First Mister, John Goodman, is widely recognized for his iconic character Dan Conner on the TV show Roseanne.;4. John Goodman, who appeared alongside Albert Brooks in My First Mister, is most notable for his role as Dan Conner on the beloved TV series Roseanne.;5. John Goodman, who co-starred with Albert Brooks in My First Mister, is best known for his memorable portrayal of Dan Conner on the popular TV series Roseanne.",YES;YES;NO;YES;YES,1. The actor who co-starred with Albert Brooks in My First Mister was not best known for his role as Dan Conner on the TV series Roseanne.;2. John Goodman was not best known for his role as Dan Conner on the TV series Roseanne.;3. The actor who co-starred with Albert Brooks in My First Mister was not John Goodman.;4. John Goodman was not the actor who co-starred with Albert Brooks in My First Mister.;5. The actor who co-starred with Albert Brooks in My First Mister was not best known for his role on the TV series Roseanne.,YES;NO;NO;NO;YES
249,249,How many households does the network that Di-Gata Defenders plays on in South Africa reach?,1.5 million households,The network that Di-Gata Defenders plays on in South Africa reaches 1.5 million households.,"The network that Di-Gata Defenders plays on in South Africa, e.tv, reaches approximately 5.5 million households.","1. e.tv, the network that airs Di-Gata Defenders in South Africa, covers around 5.5 million households.;2. With a reach of approximately 5.5 million households, e.tv is the network that broadcasts Di-Gata Defenders in South Africa.;3. In South Africa, the television network that airs Di-Gata Defenders, e.tv, has a viewership of roughly 5.5 million households.;4. e.tv, the network that Di-Gata Defenders is broadcast on in South Africa, has a household reach of approximately 5.5 million.;5. With a household reach of around 5.5 million, e.tv is the network that plays host to Di-Gata Defenders in South Africa.",YES;YES;YES;YES;YES,"1. The network that Di-Gata Defenders plays on in South Africa, e.tv, does not reach approximately 5.5 million households.;2. e.tv does not reach approximately 5.5 million households.;3. The network that Di-Gata Defenders plays on in South Africa does not reach approximately 5.5 million households.;4. e.tv does not reach approximately any households.;5. The network that Di-Gata Defenders plays on in South Africa does not exist.",NO;NO;NO;NO;NO
250,250,"Which was published founded most recently, InStyle or Godey's Lady's Book?",InStyle,InStyle was published more recently than Godey's Lady's Book.,"InStyle was founded in 1994, while Godey's Lady's Book was first published in 1830, making Godey's Lady's Book significantly older than InStyle.","1. Godey's Lady's Book has a much longer history than InStyle, which was established in 1994.;2. Founded in 1830, Godey's Lady's Book predates InStyle by more than a century.;3. InStyle, launched in 1994, is a relatively new publication compared to Godey's Lady's Book, which has been in circulation since 1830.;4. With its origins dating back to 1830, Godey's Lady's Book is significantly older than InStyle, which was founded in 1994.;5. InStyle, a publication that debuted in 1994, is a modern entity compared to Godey's Lady's Book, which has been in publication for over 190 years.",YES;YES;NO;YES;NO,1. Godey's Lady's Book was not founded most recently.;2. InStyle was not founded more recently than Godey's Lady's Book.;3. Godey's Lady's Book is not significantly older than InStyle.;4. InStyle was not published significantly more recently than Godey's Lady's Book.;5. Godey's Lady's Book was not published in 1830.,NO;NO;NO;NO;NO
251,251,Who is older Craig Nicholls or Norman Blake ?,Norman Blake,Norman Blake is older than Craig Nicholls.,"Craig Nicholls, the lead vocalist and guitarist of the Australian rock band The Vines, was born on May 1, 1973, while Norman Blake, the lead vocalist and guitarist of the Scottish indie rock band Teenage Fanclub, was born on February 24, 1964, making Norman Blake older than Craig Nicholls.","1. Norman Blake precedes Craig Nicholls in age, as he was born in 1964, whereas Nicholls was born in 1973.;2. Craig Nicholls is younger than Norman Blake, who was born nearly a decade earlier.;3. Norman Blake's birthdate of 1964 makes him older than Craig Nicholls, who was born in 1973.;4. As Norman Blake was born in 1964 and Craig Nicholls in 1973, the latter is younger than the former.;5. With Norman Blake born in 1964 and Craig Nicholls in 1973, the age difference between the two musicians is notable, with Blake being the older of the two.",NO;NO;NO;YES;YES,1. Norman Blake is not older than Craig Nicholls.;2. Craig Nicholls is older than Norman Blake.;3. Norman Blake is not the older one between the two.;4. Craig Nicholls and Norman Blake are the same age.;5. Norman Blake is not the lead vocalist and guitarist of Teenage Fanclub.,NO;NO;NO;NO;NO
252,252,Where was the rapper in 13 Dead Men from?,New Orleans,The rapper in 13 Dead Men was from New Orleans.,"The rapper in the 2006 film ""13 Dead Men"" is 50 Cent, who is from Queens, New York, USA.","1. The rapper featured in the 2006 film ""13 Dead Men"" is 50 Cent, who hails from Queens, New York, USA.;2. 50 Cent, the rapper in the 2006 movie ""13 Dead Men"", originates from Queens, New York, USA.;3. The rapper who appeared in the 2006 film ""13 Dead Men"" is 50 Cent, a native of Queens, New York, USA.;4. 50 Cent, the rapper in the 2006 film ""13 Dead Men"", is from the borough of Queens, New York, USA.;5. The rapper in the 2006 film ""13 Dead Men"", 50 Cent, is a product of Queens, New York, USA.",NO;NO;NO;NO;YES,"1. The rapper in the 2006 film ""13 Dead Men"" is not 50 Cent, who is not from Queens, New York, USA.;2. 50 Cent is not the rapper in the 2006 film ""13 Dead Men"".;3. The rapper in the 2006 film ""13 Dead Men"" is not from Queens, New York, USA.;4. 50 Cent is not from Queens, New York, USA.;5. The rapper in the 2006 film ""13 Dead Men"" is not from the USA.",NO;NO;NO;NO;NO
253,253, Thomas Anthony Jankiewicz was best known for penning a film staring an actress who played Fiona Bowa on what NBC sitcom?,About a Boy,"Thomas Anthony Jankiewicz was best known for penning the film ""About a Boy,"" which starred an actress who played Fiona Bowa on the NBC sitcom.","Thomas Anthony Jankiewicz wrote the screenplay for the 1994 film ""The Flintstones"" starring Elizabeth Taylor, who played the role of Wilma Flintstone, and Rosie O'Donnell, who played the role of Pearl Slaghoople, in the NBC sitcom ""The Flintstones"".","1. Thomas Anthony Jankiewicz is most renowned for writing the screenplay for the 1994 film ""The Flintstones"" featuring Elizabeth Taylor, who portrayed Wilma Flintstone, and Rosie O'Donnell, who played Pearl Slaghoople, in the NBC sitcom ""The Flintstones"".;2. The screenplay for the 1994 film ""The Flintstones"" starring Elizabeth Taylor, who played Wilma Flintstone, and Rosie O'Donnell, who played Pearl Slaghoople, in the NBC sitcom ""The Flintstones"" is attributed to Thomas Anthony Jankiewicz.;3. Thomas Anthony Jankiewicz is credited with writing the screenplay for the 1994 film ""The Flintstones"" starring Elizabeth Taylor, who played Wilma Flintstone, and Rosie O'Donnell, who played Pearl Slaghoople, in the NBC sitcom ""The Flintstones"".;4. The 1994 film ""The Flintstones"" starring Elizabeth Taylor, who played Wilma Flintstone, and Rosie O'Donnell, who played Pearl Slaghoople, in the NBC sitcom ""The Flintstones"" was penned by Thomas Anthony Jankiewicz.;5. Thomas Anthony Jankiewicz wrote the screenplay for the 1994 film ""The Flintstones"" featuring Elizabeth Taylor, who played Wilma Flintstone, and Rosie O'Donnell, who played Pearl Slaghoople, in the NBC sitcom ""The Flintstones"", which he is most famous for.",NO;NO;NO;NO;NO,"1. Thomas Anthony Jankiewicz was not best known for penning a film staring an actress who played Fiona Bowa on what NBC sitcom.;2. Thomas Anthony Jankiewicz did not write the screenplay for the 1994 film ""The Flintstones"" starring Elizabeth Taylor, who played the role of Wilma Flintstone, and Rosie O'Donnell, who played the role of Pearl Slaghoople, in the NBC sitcom ""The Flintstones"".;3. The actress who played Fiona Bowa on what NBC sitcom did not star in a film written by Thomas Anthony Jankiewicz.;4. Thomas Anthony Jankiewicz did not write the screenplay for a film starring an actress who played Fiona Bowa on what NBC sitcom.;5. The film written by Thomas Anthony Jankiewicz did not star an actress who played Fiona Bowa on what NBC sitcom.",NO;NO;NO;NO;NO
254,254,"The Ronkonkama railroad station and the town of Islip, New York are near?",Long Island,"The Ronkonkama railroad station and the town of Islip, New York are near Long Island.","The Ronkonkoma railroad station is located in Ronkonkoma, New York, which is situated in the town of Brookhaven, Suffolk County, and is approximately 10 miles east of the town of Islip, also in Suffolk County.","1. The Ronkonkoma railroad station is situated in close proximity to the town of Brookhaven, Suffolk County, and is roughly 10 miles west of the town of Islip, also in Suffolk County.;2. The Ronkonkoma railroad station is located in the town of Brookhaven, Suffolk County, and is approximately 10 miles west of the town of Islip, also in Suffolk County.;3. The Ronkonkoma railroad station is situated in the town of Brookhaven, Suffolk County, and is roughly 10 miles east of the town of Islip, also in Suffolk County.;4. The Ronkonkoma railroad station is located in the town of Brookhaven, Suffolk County, and is approximately 10 miles east of the town of Islip, also in Suffolk County.;5. The Ronkonkoma railroad station is situated in the town of Brookhaven, Suffolk County, and is roughly 10 miles away from the town of Islip, also in Suffolk County.",YES;YES;YES;YES;YES,"1. The Ronkonkoma railroad station and the town of Islip, New York are not near.;2. The Ronkonkoma railroad station is not located near the town of Islip, New York.;3. The town of Islip, New York is not near the Ronkonkoma railroad station.;4. The Ronkonkoma railroad station is not situated in the town of Brookhaven, Suffolk County.;5. The town of Islip, New York is not approximately 10 miles west of the Ronkonkoma railroad station.",NO;NO;NO;NO;NO
255,255,Deyemi Okanlawon was in a music viideo by a Nigerian rapper who began his career with what group?,The School Boys,Deyemi Okanlawon was in a music video by a Nigerian rapper who began his career with The School Boys.,"Deyemi Okanlawon was in a music video by Nigerian rapper Olamide, who began his career with the group ENEE NITE KLUB.","1. Deyemi Okanlawon featured in a music video by Nigerian rapper Olamide, who started his career with the group ENEE NITE KLUB.;2. Olamide, who kick-started his career with ENEE NITE KLUB, starred in a music video alongside Deyemi Okanlawon.;3. Deyemi Okanlawon appeared in a music video by Olamide, who began his professional journey with the group ENEE NITE KLUB.;4. Nigerian rapper Olamide, who initially rose to fame with ENEE NITE KLUB, collaborated with Deyemi Okanlawon in a music video.;5. Deyemi Okanlawon was part of a music video by Olamide, who launched his music career with the group ENEE NITE KLUB.",NO;NO;NO;NO;NO,"1. Deyemi Okanlawon was not in a music video by Nigerian rapper Olamide, who began his career with the group ENEE NITE KLUB.;2. Deyemi Okanlawon was in a music video by Nigerian rapper Olamide, who did not begin his career with the group ENEE NITE KLUB.;3. Olamide did not begin his career with the group ENEE NITE KLUB.;4. Deyemi Okanlawon was not in a music video by Nigerian rapper who began his career with the group ENEE NITE KLUB.;5. Deyemi Okanlawon was in a music video by Nigerian rapper who did not begin his career with the group ENEE NITE KLUB.",NO;NO;NO;NO;NO
