Questions,Answers
What was the nickname of the English monarch that Petruccio Ubaldini presented one of his books?,The Virgin Queen
Is It Just Me? was a single by the English rock band from what Suffolk city?,Lowestoft
"Who was born first, Brooklyn Decker or Andy Roddick?",Andrew Stephen Roddick
Which country is home to Alsa Mall and Spencer Plaza?,India
"The HTC U11 major carrier is Sprint, but it can be unlocked for this Texas company that is world's largest telecommunications provider? ",AT&T
Which conference is the team for which Justin Bannan played college football currently a member of?,Pac-12 Conference
Which Indian actor is best known for his role in the film Tadakha following his debut in the 2009 film Josh?,Naga Chaitanya
What is the English translation of the noodle similar to Taglierini that is not tagliatelle?,little hairs
Blues to the Bush is an album by The Who that can still be found on what e-commerce platform that was founded in 1995?,eBay Inc.
"What company has a headquarters in Whitley, Convernty, United Kingdom?",Jaguar Land Rover
In what city did Jack J. Stephans coach from 1979 to 1980?,New York City
How many beer brands are in the portfolio of the company that hired Leonardus (Leo) Petrus Beukeboom to decorate cafes?,over 170
"Where is the University of North Carolina at Wilmington, population 112,067 located?","Wilmington, North Carolina"
Was either Craig Melville or Grover Jones born in Indiana?,"Jones was born in Rosedale, Indiana"
When is the birthday of the British-Irish heiress who worked on the Optimist In Black studio album?,9-Nov-67
Which English-born Australian singer/songwriter was a judge on season 8 of Australia's Got Talent?,Sophie Charlene Akland Monk
Where is the group of islands named after Purdue University's professor of forest ecology from 1947 to 1973?,the northwest tip of Canisteo Peninsula in Amundsen Sea
Which county was included in the Diocese of Reno and was also the county seat of Ormsby County prior to 1969?,Carson City
Are both Jack and Coke and Clover Club Cocktail cocktails?,yes
Are either Edward H. Griffith or Edward Burns from Germany?,no
"Aside from the Ivorian who was born in 1986, what other big name footballer has gone through the FC Bibo?","Feyenoord's Sekou Cissé, WS Woluwe's Bassilia Sakanoko, UTA Arad's Leoh Digbeu"
What British made dance competition television series franchise did Claudia Albertario appear on?,"""Dancing on Ice"" around the world"
What role did Slim Dunlap take when he joined the Minnesota band the Replacements in 1987?,guitarist
What kind of group does Takahiro Moriuchi and Doug Pinnick have in common?,band
This American film and stage actor played the self-destructive soldier Prewitt in Fred Zinnemann's 1953 film that centers around which event?,the attack on Pearl Harbor
"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967
The Rainmaker starred the actor who has been nominated for how many British Academy Film Awards?,two
Who is the host of Wall of Fame known for his partnership with?,Matt Lucas
Who directed the 1940 film in which John Arledge appeared?,John Ford
The Story of Them Featuring Van Morrison is a compilation album recorded by what Northern Irish band formed in Belfast in April 1964?,Them
"At the 66th Academy Awards, the awards for technical achievements were presented by what host who was nominated for Best Actress for ""Rambling Rose""?",Laura Dern
When was the composer who created Peter Schmoll und seine Nachbarn born?,19 November 1786
What surrounding river in a Canadian province was Erin Wall born near?,Bow River
Who has more victories Chelsea or Manchester United?,Wayne Rooney
Robin Pingeton replaced Cindy Stein as head coach of which university women's basketball team? ,University of Missouri
When was the head coach representing the Eastern Conference during the 2000 NBA All-Star Game born?,19-Jan-62
Who won the 1981 CART PPG Indy Car World Series in Avondale Arizona?,Rick Ravon Mears
Are Benjamin Britten and Béla Bartók from the same country?,no
"Which town is the venue, in which the APRA Music Awards of 2009 were held, located?",New South Wales
"What type of plane is the four engine heavy bomber, first introduced in 1938 for the United States Army, which is hangared at Conroe North Houston Regional Airport?",American Boeing B-17 Flying Fortress
"On what date did the geological event, that caused the 2011 Japanese motorcycle Grand Prix to be rescheduled, take place ?","11 March 2011,"
John E. EchoHawk is a leading member in a social movement that wants to reverse what ?,the paternalistic policies enacted upon Native American tribes
"A Car-Tune Portrait was released on June 26, 1937, the cartoon gives an imaginative take on which second in a set of works by composer Franz Liszt?",Hungarian Rhapsody No. 2
In what year did the American Record company established in 1958 release a record co-produced by Adam Faith?,Jan-74
which  Indian businessman and politician owns Mabula Game Reserve ,Vijay Vittal Mallya
"Which lake is located further south, Dal Lake or Waterton Lake?",Dal Lake
Who starred in more films Margaret Landon or Elizabeth Taylor?,Dame Elizabeth Rosemond Taylor
"Queen Elizabeth Grammar School, Wakefield is a type of secondary school that caters to children of what age cohort?",between 11 or 13 and 18
"Which South African born singer featured the musical revue ""Sigh No More""?",Graham Payn
Paddington is a television program based on the books that first appeared on what date?,13-Oct-58
Which cloth town in the high Middle Ages gives the name to the dye associated with the man who is said to rob from the rich and give to the poor?,Lincoln
"Eugene Rosenburg, who founded the Hologenome theory of evolution is a microbiologist as what university?",Tel Aviv University
What nationality was Oliver Reed's character in the film Royal Flash?,Prussian
Augustus Jesse Bowie Jr was the innovator of the switch that was crucial to leading to the passage of which federal legislation in 1936?,Rural Electrification Act
"What tv series did Benny Ciaramello co-star in with a person that was also in the film ""The Bang-Bang Club""?",Secrets and Lies
"Which album was released first, ""Talk That Talk"" or ""Loud""?",Loud
"Which person went into space at a later date, Sigmund Jähn or Christer Fuglesang?",Christer Fuglesang
When did an IndyCar race driver drive a Formula 1 car designed by Peter McCool?,2007 Formula One season
"Which is located farther West, the Cascade Locks and Canal or Lake Worth Lagoon?",Cascade Locks and Canal
Which of the following board games accommodates up to 10 players: The Game of Life or the History of the World?,The Game of Life
"With the help of Adam Lambert, Josh Abraham has sold how many albums worldwide?",40 million
The Amsterdam Tournament 2009 was contested by what club that plays their home games at the Wanda Metropolitano?,Club Atlético de Madrid
"What car did the German rally driver, who won victories for Fiat, Opel, Lancia, and Audi drive?",The Lancia Rally
The  Actaea genus is native to what continent that the Onoclea genus is not?,Europe
"What colors are worn by the Oregon Duck, mascot of the University of Oregon athletic teams?",green and yellow
"Who was born first, Gene Mayer or Serena Williams?",Gene Mayer
"The actor that plays Joe MacMillan in ""Halt and Catch Fire"" also starred with Carrie Coon in what 2017 horror film?",The Keeping Hours
Were Paul Éluard and Georges Bataille from the same country?,yes
What kind of song did Alexander Grant produce for Eminem?,a midtempo hip hop ballad
What was the previous occupation of the Canadian-born Indian-American actress and model who appeared in Tina & Lolo alongside Karishma Tanna?,pornstar
"""The Empire Builder""'s Columbia River Subdivision was part of which line?",Great Northern Railway
"John T. Mather Memorial Hospital is located in a village in what Suffolk County, New York town?",Town of Brookhaven
Where in Greek mythology was the father of Benthesikyme venerated as a chief deity?,Pylos and Thebes
What New York City-based hip-hop musical group consists of rappers including Darryl Hill?,The Wu-Tang Clan
Are Vintage Life and InStyle both US-based magazines?,no
What is the financial group which created the Sporting Portugal Fund?,Espírito Santo Financial Group
The 2012-13 Boston Celtics season was marred by an occurence which took the lives of how many people?,three
Ckm wz. 25 Hotchkiss was a Polish derivative of what machine gun that became the standard machine gun of the French Army during World War I?,Mle 1914 Hotchkiss machine gun
"What is the nationality of the actor who costarred with Joe Chen and Jia Nailiang in ""Destined to Love You""?",Hong Kong
What is Peter Daou's website's slogan?,"""media for the 65.8 million,"""
Graveraet River is a tributary of a lake that is shared between which US states ?,"Minnesota to the west, and Wisconsin and the Upper Peninsula of Michigan to the south"
How much change in elevation is there at the site of the 1999 FIA GT Hockenheim 500km?,very little
"When they were formed, did The Fatima Mansions or Nude have more members?",The Fatima Mansions
Who authorized this infantry that was organized in the northern states during the Civil War and was commanded by RObert GOuld Shaw?,Emancipation Proclamation
The 43d Air Mobility Operations Group is stationed at which largest military installation?,Fort Bragg
" Willie Geist frequently serves as fill-in anchor on ""Today"" for a tv journalist that was the host of what show from 1980-86?","""PM Magazine"""
" During what years did the railroad that had a station stop in Ringling, Montana operate?",from 1847 until 1980
Roger Stuart Woolhouse is a biographer of a philosopher commonly known as what ?,Father of Liberalism
Who portrays Rachel Zane on the American legal comedy-drama that airs on USA Network?,Rachel Meghan Markle
Nikolay Mitrofanovich Krylov and Anatoly Fomenko both held what academic title?,mathematician
St Anne's Academy is an 11-18 mixed comprehensive academy is located in a town that had how many inhabitants in 2011 ?,"42,972"
"William Sidney Sid Hatfield was the Police Chief of Matewan, West Virginia during a shootout between local coal miners and the Baldwin-Felts Detective Agency that is referred to as what?",Battle of Matewan
"What album did R.Kelly release the same year as producing ""These Are Special Times"" for Celine Dion. ","""I Believe I Can Fly"""
Who captained the team popularly referred to as the Shaheens during the teams test match against the New Zealand national cricket team?,Javed Miandad
Scientific Games Corporation makes the type of games that are composed of what?,paper-based
What type of profession do Dave Pirner and Les McKeown both have?,singer
"Which American musician, principally known for his work as guitarist, vocalist and songwriter released the Voice Of Reason album?",Robert Arthur Mould
Are both Coldplay and Pierre Bouvier from the same country?,no
"What is the nationality of this actor, film producer and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie and Tony Lee?",New Zealand citizen
"What uniform number was the umpire wearing when ""Pudge"" hit a home run in Game 6 of the 1975 World Series?",4
which persons private jet called Trump Force One which is built by Boeing Commercial Airplanes and is the manufacturer's largest single aisle passenger aircraft that is produced from 1981 to 2004?,Donald J. Trump's private jet
What group did the 253 West 125th Street-contest winner Spyder Turner sing back up for?,The Stereophonics and The Fabulous Counts
Which American sketch comedy television series starring John C. Reilly was produced by Abso Lutely Productions?,Check It Out!
The founder of the Metroplex record label attending high school in what city?,Belleville
1920 Politics was a Republican political strategy to reassert the authority of the white race in which US state?,Hawaii
The largest lake in New Hampshire sits how many vertical feet lower than Lake Kanasatka?,nine vertical feet
What types of activities occur in both the Bennington and Bridgewater Triangles?,alleged paranormal phenomena
"The poem ""soleil et chair"" was influenced by this Roman poet and philosopher who has only one known work about the tenets and philosophy of Epicureanism?",Lucretius
Who resides in the palace that was the inspiration for the Kensington System's name?,British Royal Family
What nationality is the director of the 1971 film Wake in Fright?,Velichko Todorov Tsochev) is a Bulgarian-Canadian
Faith Goldy got fired after an interview she gave on what production site edited by Andrew Anglin?,The Daily Stormer
"What is the character's name for which Anna Leonidovna Kovalchuk won a prize in the legal festival ""Law and Society""?",Chief Detective Maria Shvetsova
"Who is still alive today, Franklin Adreon or Ryan Gosling?","Franklin ""Pete"" Adreon"
What is the estimated population of the city in which the suburb of Beaumont is located ?,"44,300"
John Valliant’s work has appeared in which outdoor-focused magazine whose first issue was published in September 1977?,Outside
"José Rubia Barcia  published a great number of books and articles on a Spanish poet, playwright, and what?",theatre director
"What Taylor swift song released December 7, 2008 was written by the same writer as ""You Belong to Me""?",White Horse
"Who won more Grand Slam Titles, Liezel Huber or Billie Jean King?",Billie Jean King
What was Muammar Mohammed Abu Minyar Gaddafi's title during the Libyan Civil War?,"""Brotherly Leader"" of the Great Socialist People's Libyan Arab Jamahiriya"
Which KaBoom! Entertainment Inc. film is based on a story by Rudyard Kipling?,The Jungle Book (1894)
Do both Adventist World and Girls' Life have a headquarter or editor based in Maryland?,yes
Which award did the Tunisian-Dutch actor that starred in Collide win? ,Best Actor in 2013
"Who has a wider scope of profession, Christopher Guest or  Roman Karmen?",Christopher Haden-Guest
What was Mary Edna González sexuality? ,omnisexuality
which has more acts Pagliacci or Suor Angelica?,Pagliacci
How did the singer of Pyramid rise to fame?,YouTube
Thomas Francis Murphy had a role in which 2008 comedy film?,Leatherheads
"Operalia, The World Opera Competition helped launch the career of an operatic soprano of what nationality?",Bulgarian
"From what county is Steven Avery, wrongfully convicted man on which the documentary Making a Murderer is based? ","Manitowoc County, Wisconsin"
Bank street is sandwiched between the headquarters of the Hongkong and Shanghai Banking Corporation and which other building?,Bank of China Building
The player who laid motionless for ten minutes in the Todd Bertuzzi-Steve Moore incident was born in which year ?,1978
are Mikhail Glinka and Jean-Baptiste Lully both composers ?,yes
Are John le Carré and Tim Winton both novelists?,yes
"Lost Kingdom Adventure is a dark ride located at four Legoland theme parks, including which park, which is the original Legoland park, that was opened on June 7th, 1968?",Legoland Billund
What was held in 2011 at the same stadium where the seventeenth edition of the IAAF World Championships is scheduled to be held in 2019?,The final of 2011 AFC Asian Cup
in 1992 Spengler Cup all matches were played at the home arena of what professional Swiss ice hockey club ,HC Davos
Thea Ruth White is best known for her voice over work as Muriel Bagge on  an American animated horror comedy television series created for who?,Cartoon Network
The 2003 South Australian National Football League Grand Final saw the Central District Bulldogs defeat a football club whose home base is currently known as what?,City Mazda Stadium
"Which magazine was founded first, Allure or Genre?",Allure is an American women’s beauty magazine
Typically how many pages were in the fiction magazine in which Robert E. Howard wrote in 1930s?,128 pages
Walt Disney World Quest: Magical Racing Tour includes the space-themed roller coaster that was opened on what date?,15-Jan-75
What airline was a monopoly with a hub at Sheremetyevo International Airport?,AeroflotRussian Airlines
Be Quick '28  football club is locayed in what province?,Overijssel
"What role is played by John Travolta in the film that greatly influenced the two dances, the disco fox and the hustle?",Tony Manero
"Where is the American hip hop group, that released the song ""RedEye to Paris"", from?","Flatbush section of Brooklyn, New York City"
What was the nationality of the composer of Chaconne in F minor?,German
In what year was the college that Cal Hovde served as dean for founded?,1754
Who died and had his dog wait in Japan for him for 9 years after his death?,Hidesaburō Ueno
Who was the lead french actor who starred in the 1986 film that inspired a Stella Artois ad campaign?,Gérard Depardieu
"What German philosopher, economist and political theorist was Jakob Lukas Schabelitz a friend and associate of?",Karl Marx
Gerd Neggo trained under the founder of which type of dance analysis?,Laban Movement Analysis
"Who was born first, Liam Cunningham or Michael Fassbender?",Liam Cunningham
"What monthly magazine, published by ASIS International, includes articles on topics of computer security?",Security Management is the monthly magazine of ASIS International
"Whose writing covered more topics, Alan Dean Foster or Samuel R. Delany?",Samuel Ray Delany Jr.
Which f beer brewed in the Pajottenland region  American wild ale similar to ,Lambic
VIVA Media AG changed it's name in 2004. What does their new acronym stand for?,Gesellschaft mit beschränkter Haftung
Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.
The Lisbon Traviata revolves around fans of the soprano who was of what nationality?,Greek-American
"National Strategy for Homeland Security was a response to the events that partially took place at what Arlington County, Virginia location?",Pentagon
 WDAL is a country music radio station licensed to a city in what Georgia county?,Whitfield County
King of Norway Magnus Barefoot launched aggressive military campaigns in this region that was at times independent of external control and was known to the Norse as what?,Southern Isles
"The publication of which magazine ended first, Right On! or Castle of Frankenstein?",Castle of Frankenstein
What philosophy related to creationism is Paul Nelson noted for?,intelligent design
"What type of license is the open source roguelike video game video released 2012, in which a subset of it's pricing model is a called free-to-play, licensed under?",GNU GPLv3
"When did the University, of which The Dove Marine Laboratory is a part, gain University status ? ?",1963
The Zapruder film shows President John F. Kennedy's motorcade as it passed through a plaza that was named aNational Historic Landmark in what year? ,1993
Evil controllers was featured on Game informer who was published by which monthly video magazine corporation?,GameStop Corp.
"Luisa Miller is an opera with three acts, whereas Don Quichotte is an opera with how many acts?",five
Is Rick Husband Amarillo International Airport or Grand Forks International Airport closer to the town it is near?,Grand Forks International Airport
"How many albums does the duo who sang ""Yesterday Once More"" have? ",11 albums
"What is a popular industry in the neighborhood of Willow Vale, New South Wales?",wineries
"Who, born February 20, 1983, played for The Monarchs and in the World Series?",Justin Brooks Verlander
"Frank Sindone helped plot the murder of a family mob boss, What was this boss's nickname ?","""the Gentle Don"" or ""the Docile Don"""
"The Church of St Peter in Pertenhall, Bedfordshire, England was added to this register on 13 July 1964.",Statutory List of Buildings of Special Architectural or Historic Interest
Which constituent college of the University of Oxford in England was Francis Leighton warden of?,"All Souls College, Oxford"
"Calling All Dawns includes the theme for the game ""Civilization IV,"" written by whom?",Christopher Tin
What occupations are shared by Maher Sabry and Til Schweiger?,"director, and producer"
What service is an Amtrak flagship that includes BWI Rail Station as one of its Amtrak intercity services?,Acela Express
Did Ed Sullivan ever work anywhere other than the New York Daily News?,The Ed Sullivan Show
What is  Cyaxares relationship to the man that governed for 53 years?,r grandfather <a hr
Which late 1980s and 1990s English super model was featured in the song nasty girl by The Notorious B.I.G.?,Naomi Elaine Campbell
Why did Rudolf Hess stop serving Hitler in 1941?,report Hess's illegal May 1941 flight to Scotland
what other school is located in the same suburb as the Ghana Police College?,Ghana Technology University College
Who did the 39th Vice President of the United States serve under?,Richard Nixon
This Fox News Specialist Host also took over what Fox Business Channel news program in 2013?,Cashin' In
What type of media does Jeff Rona and Veeram have in common?,film
"What was the official religion of the lands of the husband of Dorothea of Denmark, Duchess of Prussia?",Protestantism
What year did the movement that Tess Asplund protested in the viral image of her with her fist in the air disband?,2016
"What episode did Mona Penelope Simpson  on the animated show ""The Simpsons""die?","""Mona Leaves-a"""
Who starred in My Dog Skip and Malcolm in the Middle?,Frankie Muniz
"What man, born in 1963, was instrumental in bringing the Boston Red Sox to the stadium City of Palms Park in Fort Myers, Florida?",Mike Greenwell
"Which singer has been in more music bands, Michael Crafter or Martin Degville?",Michael Crafter
Which was secretary to President Richard Nixon: Rose Mary Woods or H. R. Haldeman?,Rose Mary Woods
 Are Finding Kraftland and Shikashika both frozen drinks?,Shikashika is a shaved ice drink
Both Mulled wine and Blue Lagoon are considered primarily alcoholic or non-alcoholic?,alcoholic
"Which band was formed first, Wire or Young the Giant?",Wire
Is Muskegon County Airport or John Wayne Airport further west?,John Wayne Airport
George Tawengwa was the first black person to buy a farm located in a country now known as which country ?,Zimbabwe
"Which long-established US university is older: University of California, Berkeley or Syracuse University?","University of California, Berkeley"
What key role did the stadium's snowplow operated play in the game following the Dolphins win against the Minnesota Vikings?,cleared a spot on the snowy field specifically for New England kicker John Smith
Who is the star of the 2003 comedy that has a single from Candycoatedwaterdrops on its soundtrack?,Jim Carrey
Which goal scoring player in the 1992 FA Cup Final was Welsh?,Ian Rush
 Park Seo-joon is best known for his role in a series that premiered on what month and day?,22-May
What actor from the show Murphy Brown also had a role in a show with fellow actor Steve Howey? ,Christopher Rich
What are the symptoms of the virus identified by Robert Purcell?,"nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain"
Did Billy Corgan's band The Smashing Pumpkins or Greek Fire originate in a more southern location?,Greek Fire
Pak Sao is a technique in the martial art specializing in what type of fighting?,close range combat
In which state is Stewart Nozette imprisoned?,Indiana
What was the name of the lawyer who took the main role in the report that helped land Pete Rose a lifetime suspension from baseball?,John M. Dowd
"In which series did Jacky Ickx, the Belgian Ferrari driver, win more races - Formula One or the Le Mans 24 Hours?",Formula One
" ""Coming Over"" is the second Japanese single album by a boy group that debuted in what year?",2012
Are Richard Yardumian and Edward Khantzian both Harvard psychiatry professors?,no
In which sport does both Virginia Ruzici and Andy Murray participate?,professional tennis player
"In the summer of 1972, ""Metal Guru"" was the last UK number one for T. Rex and its lead singer. What was his name?",Marc Bolan
"According to the 2010 census, what was the population of the city after which the vice president, in April 1813, was named?","5,922"
Are Mike Bryan and Ray Ruffels both tennis players?,yes
What kind of beverage does Planter's Punch and Black Velvet have in common?,cocktail
What country of origin does Shawnee Trail and Great Indian Warpath have in common?,American
Are Affenpinscher and Villanuco de Las Encartaciones both breeds of dog?,yes
"Was the documentary labeled ""The River""have the same reasoning to be made as the documentary labeled ""Crazy English?""",no
"Which ""novel with a key"" was written by John Ehrlichman about the CIA, base on events leading up to the Watergate coverup?",The Company
"author of the popular ""Getting Started in Electronics"" founded Micro Instrumentation and Telemetry Systems (MITS) in what state?","Albuquerque, New Mexico"
Who is the son of John Button under contract with as a driver?,McLaren-Honda
Who wrote Bring Me Sunshine and where did they write it?,Bring Me Sunshine (1994) was originally a three-part retrospective in tribute to Eric Morecambe
What sort of activist is the author of The Irrational Atheist? ,alt-right
In what year was the football club for which Reuven Niemeijer plays founded?,1903
Are Toshi and Warrel Dane both in the band Sanctuary?,no
"What two countries headquarter the clothing company that the photographer ""Facehunter"" contributed to?","Kowloon, Hong Kong, and Ratingen (near Düsseldorf), Germany."
"When was the club formed, for which Adam  Johnson played as well as Middlesbrough and Watford ?",1919
"Which Air Force member was behind enemy lines for 11 1/2 days and had the largest,longest and most complex rescue mission?","Lieutenant Colonel Iceal E. ""Gene"" Hambleton"
"Musical artist Diabolic and Vinnie Paz, who was featured on Diabolic's second studio album Fightin' Words, are both what type of musicians?",rapper
"Which song reached number 3 on the ""Billboard"" Hot 100 that featured guest vocals fron Allessia Cara And Khalid?",1-800-273-8255
Were the films Tonka and 101 Dalmatians released in the same decade?,1958 Walt Disney Western adventure film
"For which football club, established in 1949, did Mitch Duggan have a loan spell prior to joining Tranmere Rovers?",Warrington Town Football Club
How much Argentina currency was involved in Boudougate?,2.3 million pesos
"Which restaurant chain is based further south, Pizza Fusion or Imo's Pizza?",Pizza Fusion
Who created the series in which Liza Weil played Bonnie Winterbottom?,Peter Nowalk
Who starred in the 1991 American action comedy film The Hard Way and was featured on the roster of Rawkus Records?,Mos Def
Which of the cities of Dujiangyan City and Ezhou has the larger population according to their latest census ?,Ezhou
Nell Williams Plays a younger version of this Character in HBO's Game of thrones that is also in Which fantasy novel Series written by George R.R. Martin?,A Song of Ice and Fire
"Which bank has more branches, China CITIC Bank or UniCredit?",UniCredit
100 indviduals with the surname 'Preradovic' died at which concentration camp that straddled the southern border of the Hasburg Monarchy?,the Jasenovac concentration camp
"Who was the  ""King of Denmark, the Vends and the Goths, elected King of Norway's"" brother?",king John of Denmark
What is the population of the county Rockingham County which Little Bay Bridge meet the river between it,The population was 753
"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language
"No issue, lelo tissue was started by which company that has the largest mobile network in Pakistan?",Jazz
"In which Florida city is Skyplex being constructed, featuring Skyscraper, the tallest rollercoaster in the world?",Orlando
"Where was the opera, which was the subject of After Aida, first performed?",Teatro alla Scala
Mikael Åkerfeldt and Lee Ranaldo were this kind of instrumentalist in their respective bands. ,Guitarists
Den Tagayasu lived in the town that was bombed on which dates?,9-10 March 1945
Shannon Purser played the role of June Acosta in a 2017 horror film directed by who?,John R. Leonetti
What contest did Drew Barry's younger brother win in 1996?,the 1996 NBA Slam Dunk Contest
What was the 2010 population of the town where Black Crescent Mountain was located? ,310
Bridgewater Trustees major source of income came from a canal that was commissioned by whom/,Francis Egerton
What is this subfamily within the cat family Felidae named by Reginald Innes Pocock that is descendant of Pseudaelurus?,Pantherinae
In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya"
What are the colors of the tricolour flag that was adopted in 1919?,"green (at the hoist), white and orange"
Are The Limousines and Faith No More from the same state?,yes
Where is the usual main ingredient of Hákarl normally found?,North Atlantic Ocean and Arctic Ocean
Which town was home to a forward for the Western New York Flash? ,Oyster Bay
"What nationality was the Jaguar R2 driver, Eddie Irvine?",British racing driver
"Which river flows next to the German town where the music project ""I Drink My Coffee Alone"" by Alex Gazin originates from?",Moselle
"When ""Good Night"" was aired on ""The Simpsons 138th Epsiode Spectacular,"" which actress did the voice of the character named after Matt Groening's mother?",Julie Kavner
Which partner of Jash was born in 1970?,Sarah Kate Silverman
"Were both documentaries, Loot and Air Force, Incorporated, released in the same year?",no
The Six Arms Saga was written by the former editor-in-chief of what company?,Marvel Comics
"In the 2004 United States senate election, re-election was won by what American plitician who was first elected in 1998, defeating what three-term Republican incumbent?",Al D'Amato
Gemma Rovira Ortega translated into Spanish the 2007 and 2008 best selling book in Spain as well as which series by Patrick Rothfuss?,The Kingkiller Chronicle series
What Deepdale area football club did Andy Pilling play for?,Preston North End
Were the Commodore 16 and Prológica CP-400 from the same country?,no
Oklahoma State Cowboys are part of what NCAA Division?,NCAA Division I
Han Chae-young was in the 2009 drama that aired on what network?,KBS2
"Henry Josey played college football at ""The Zou""- more commonly known as what?",Faurot Field
"Which university offers more campuses in the Philippines, Fairleigh Dickinson University or the Western Institute of Technology?",Western Institute of Technology
Japanese destroyer Oite participated in what conflict that ended with the surrender of the American forces to the Empire of Japan?,Battle of Wake Island
"Who selected the quarterback in the 1999 NFL draft, two spots after All American Tim Couch?",Cincinnati Bengals
"What was the nationality of the author of ""The Sunlight on the Garden""?",Irish
"Which film has more writers, Splash or Christopher Robin?",Christopher Robin
"Which is a British-influenced film, Bedknobs and Broomsticks or The Journey of Natty Gann?",Bedknobs and Broomsticks
Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes
Riaz-Ur-Rehman Saghar wrote songs for the Pakistani singer who has performed at what US venue?,The Kennedy Center
The 2016 San Jose State Spartans football team were members of a NCAA conference that officially began operations in what year?,1999
One of Fingerprint File's key ingredients is the highly jazz/funk-oriented bass guitar played by a musician born in which year ?,1949
What player was the first overall pick in the 2004 NFL draft and had the Manning Field named after him?,Eli Manning
"What television show was,based,on an 1908 novel by Lucy Maud Montgomery?   Anne.",Anne
"Which Canadian corporation, founded in March, 1994, is a major tenant of the Station Mall is Sault Ste. Marie? ",Wal-Mart Canada Corp.
What African country is bordered by Libya and the Sudan and is known for the Dar Sila region?,Chad
Which member of Odd Future also had a guest appearance on the album too Cozy?,Frank Ocean
"Which director, Chris O'Dea or Lucky McKee,  is a Master of Fine Arts graduate of the UCLA School of Theater, Film and Television?",Edward Lucky McKee
The Oppenheimer security hearing explored the associations of the wartime head of which laboratory?,Los Alamos
Which City in the Miami metropolitan area is home to the Primetime Race Group?,"Hollywood, Florida"
Driven To Perform has a sponsor that includes the electronics store chain from what country?,Canada
"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba
Where has Kerwin Swint's work appeared that draws 20.5 million unique visitors a month?,Mental Floss
What city does the company that owns Bumble and bumble have its headquarters in?,New York City
Who was the ruler ousted by the 30th Prime Minister of Cambodia after Khmer Rouge's victory over the Lon Nol government?,Prince of Cambodia Norodom Sihanouk
"Does Linzhou, Henan have a larger population than Xingcheng?",yes
What country of origin does Robert brothers and Jacques Charles have in common?,French
When was the conference the The 1998 West Virginia Mountaineers football team was part of  created?,1979
What Danish sports club based in Copenhagen  did striker Søren Lindsted start his career at?,Søren Lindsted
The show featuring a young boy named Gerald Bald Z premiered on what TV channel? ,Cartoon Network
Dance and Laugh Amongst the Rotten is a studio Album by a band from which country ?,the Netherlands
What is the river that Sangin is found in the valley of the primary watershed for?,Sistan Basin
"When was the Russian composer who composed ""Prisoner of the Caucasus"" born? ",[O.S. 6 January] 1835
Which 2017 American 3D film was written by Cinco Paul and Ken Daurio?,Despicable Me 3
What profession does 2007 Formula 3 Euro Series and Romain Grosjeanhave in common?,driver
Joan Baez's hit recording from Quad Studios Nashville originally featured lead vocals from what member of The Band?,Levon Helm
What is the meaning of the name of the town where Jack Briggs was born?,valley of the hazels
"Which actress is ""Beyond Rangoon"" was also in ""True Romance"" and ""Ed Wood?""",Patricia Arquette
"Which band was formed at an earlier date, Unwritten Law or Jon Spencer Blues Explosion?",Unwritten Law
Any Questions for Ben? was directed by which Australian producer and actor?,"Robert Ian ""Rob"" Sitch"
"Which movie is a documentary about ""Beowulf & Grendel"", between My Kid Could Paint That and Wrath of Gods?",Wrath of Gods
Are both Deerhunter and Nine Lashes American Christian rock bands?,no
The Ranters were a loose collection of radical so-called heretics whose main objection was with what major division of Christendom?,Roman Catholicism
Which FC Barcelona signee was a contender for the Rookie of the Year Award when he played for the Timberwolves?,Ricard Rubio i Vives
What type of boat was the German submarine U-505 that was captured by the U.S. Navy in 1944?,German Type IXC U-boat
"From 2015 to 2016, Jill Marie Jones starred in a Starz horror-comedy series set in the ""Evil Dead"" universe created by who?",Ivan Raimi
Sam Mendes and Ruby Yang share what profession?,filmmaker.
what was the American computer-animated fantasy film which  Aron Warner produced based on ,William Steig's 1990 fairy tale
The water-based dark ride in Walt Disney is connected to a song known for what?,most performed song of all time
Kim Dong-won's directorial debut film was a sequal to what 2001 film?,"My Boss, My Hero"
"what caused the death of over 250 people in Accra, Ghana?",an explosion and a fire occurred at a petrol station
"St Mary's School in Pune, India was run for over 100 years by what organization started by the Reverend William John Butler?",The Community of St Mary the Virgin (CSMV)
What town did Sean Robert Francis play in as part of the most successful club in the Republic of Ireland?,"Tallaght, South Dublin"
"Are both genera Silphium and Heliotropium, genera of flowering plants ?",yes
Which name adopted by African-American activist Allen Donaldson co-found Black Power movement of the 1960s and 1970s,Hakim Abdullah Jamal
Which of the castle along the flow of River Fiddich  is a ruined castle near Dufftown in the Moray region of Scotland?,Balvenie Castle
